date,star1,star2,star3,star4,star5
2011-08,1,0,2,2,0
2014-08,4,1,2,0,5
2014-05,2,0,0,0,1
2014-04,0,0,0,4,2
2014-07,4,2,0,5,0
2014-06,2,2,4,6,4
2011-06,2,0,0,2,1
2014-03,4,4,0,5,0
2011-05,2,0,0,2,0
2015-11,0,1,0,0,3
2013-08,0,0,2,0,0
2013-09,0,0,0,2,0
2015-10,5,0,2,3,1
2012-10,0,2,0,0,2
2013-05,0,0,0,4,0
2013-06,2,0,2,0,2
2013-07,2,0,2,6,0
2013-02,0,0,0,2,0
2013-03,0,0,0,4,0
2007-03,0,0,0,2,0
2008-07,0,4,0,0,0
2009-05,0,0,0,3,0
2010-10,0,0,2,0,0
2016-12,0,0,1,0,0
2011-03,0,0,1,0,0
2009-08,0,2,0,0,0
2015-06,7,2,1,3,2
2015-07,14,3,1,2,4
2015-04,9,0,4,5,0
2015-05,1,0,0,2,0
2015-03,0,2,2,0,0
2013-04,1,0,1,0,0
2015-01,0,0,4,4,2
2014-12,0,0,0,0,1
2014-01,0,0,0,1,2
2015-09,1,0,0,1,0
2014-11,0,0,0,0,1
2011-10,0,0,0,4,0
2015-08,1,2,0,0,0
2011-12,4,0,0,1,0
2012-09,0,0,0,2,0
2012-02,0,0,0,2,0
2012-01,2,0,0,0,0
2014-02,1,1,0,0,0
2012-06,3,0,0,4,0
2013-11,0,0,0,3,0
2013-10,0,0,4,0,1
2017-01,1,0,0,0,0
2009-01,0,0,2,0,0
2016-07,0,1,0,1,0
2016-06,3,0,0,2,1
2016-05,3,0,2,0,3
2016-04,3,2,2,3,0
2016-03,9,0,3,3,0
2016-01,0,4,0,0,0
2016-09,0,1,1,0,1
2016-08,2,0,0,1,1
