date,star1,star2,star3,star4,star5
2014-08,1,0,2,0,0
2011-02,2,0,0,0,0
2014-04,0,0,2,0,0
2014-07,0,2,3,0,0
2014-06,4,2,0,2,0
2014-01,2,0,0,0,0
2011-07,2,0,0,0,0
2011-04,4,2,1,0,0
2010-01,0,0,3,0,0
2013-04,0,0,0,1,0
2010-05,0,2,0,0,0
2010-04,4,0,0,2,0
2010-07,0,0,2,0,0
2010-09,0,2,1,0,0
2010-08,1,0,0,0,1
2012-12,1,1,0,0,0
2013-07,0,0,1,0,0
2013-06,0,1,2,0,0
2008-08,2,0,0,0,0
2007-07,0,1,0,0,0
2013-12,2,0,1,0,0
2009-07,0,0,6,0,0
2014-05,0,0,0,0,3
2009-04,0,0,2,2,0
2013-11,0,0,1,2,2
2008-07,0,0,2,0,0
2012-04,0,2,1,0,0
2009-02,2,0,0,1,0
2015-06,0,0,0,2,0
2010-11,2,0,0,0,0
2015-05,1,0,0,0,0
2014-12,3,1,1,0,0
2011-06,2,0,0,0,0
2014-10,3,0,1,0,0
2011-12,2,0,0,0,0
2012-08,1,0,0,0,0
2007-11,0,0,0,2,0
2012-03,2,0,0,0,0
2010-12,0,2,1,3,0
2012-06,2,0,0,0,0
2010-10,0,2,0,0,2
2013-10,0,1,0,2,0
2006-04,2,0,0,0,0
2008-12,0,0,2,0,0
2008-11,0,2,0,0,0
2008-10,0,0,2,0,0
2009-11,0,1,0,0,0
2013-08,0,0,1,0,0
2009-08,0,2,0,3,0
