date,star1,star2,star3,star4,star5
2014-09,3,5,2,0,0
2014-08,5,7,2,4,3
2014-05,2,1,2,1,0
2014-04,1,2,1,1,1
2014-07,4,8,7,5,1
2014-06,5,2,8,2,0
2014-01,1,3,3,1,0
2014-03,1,1,3,2,2
2014-02,2,8,2,5,2
2010-01,0,3,1,1,1
2010-03,2,5,2,2,0
2010-02,4,4,1,1,0
2010-05,2,2,0,0,0
2010-04,0,4,1,1,0
2010-07,2,0,2,0,1
2010-06,0,0,2,2,0
2013-04,2,3,2,2,0
2013-05,3,0,6,9,1
2013-06,0,3,9,0,1
2015-12,4,1,5,3,0
2013-01,1,5,2,2,1
2013-02,1,2,2,1,0
2013-03,0,1,1,2,0
2010-12,1,1,1,1,0
2012-05,0,2,3,1,0
2012-04,2,1,3,0,0
2015-06,4,4,1,2,1
2015-07,2,6,4,2,4
2015-04,0,6,3,2,2
2015-05,3,5,6,5,0
2015-02,3,2,1,1,0
2015-03,4,5,0,1,4
2015-01,0,4,4,1,0
2014-12,2,6,3,1,0
2014-10,0,2,2,3,2
2014-11,4,2,1,4,0
2011-11,1,0,3,0,0
2011-10,4,4,3,1,0
2015-08,3,3,2,5,2
2011-12,2,4,0,1,0
2012-08,3,2,1,1,0
2012-03,1,0,1,0,0
2012-02,0,0,1,2,0
2012-01,2,2,0,0,0
2012-07,0,2,3,0,0
2012-06,0,4,3,0,0
2010-10,0,2,2,2,0
2010-11,0,2,0,1,0
2016-07,3,6,3,4,2
2016-06,4,5,2,1,0
2016-05,6,1,2,0,1
2016-04,2,3,4,10,1
2016-03,7,7,3,2,3
2016-02,9,2,2,2,2
2016-01,5,3,0,0,3
2013-08,1,4,1,4,1
2016-09,5,2,1,0,2
2016-08,4,7,2,3,2
2011-08,3,0,2,1,1
2011-09,1,1,2,0,0
2011-02,3,1,6,0,0
2011-03,3,4,3,0,0
2011-01,4,2,0,0,0
2011-06,2,2,4,0,1
2011-07,4,4,1,3,0
2011-04,3,4,1,2,0
2011-05,2,2,1,3,0
2015-11,11,1,4,5,2
2015-10,3,2,2,4,1
2012-10,0,0,4,0,0
2012-11,4,7,4,0,0
2012-12,2,0,1,0,0
2007-08,0,1,3,2,0
2013-07,0,2,6,8,0
2006-10,1,0,2,0,0
2010-09,0,1,1,1,0
2006-12,2,0,2,0,0
2007-01,0,0,1,1,0
2007-02,0,0,0,2,0
2007-05,0,0,2,0,0
2007-04,0,0,0,2,0
2007-07,0,0,0,2,0
2007-06,0,0,1,1,0
2016-10,2,6,2,2,1
2016-11,0,7,3,3,0
2016-12,2,4,3,1,2
2010-08,0,1,0,0,2
2007-12,0,0,1,0,0
2007-11,0,0,1,0,0
2008-12,0,0,1,0,0
2008-11,1,0,2,0,0
2008-10,0,5,2,0,0
2008-08,0,2,1,0,0
2008-09,0,1,3,0,0
2008-01,0,1,1,0,0
2008-02,1,3,1,0,0
2008-03,1,2,0,0,0
2008-04,0,0,0,1,1
2008-05,0,0,4,0,1
2008-06,0,2,5,0,0
2008-07,0,2,0,2,0
2013-09,1,1,0,1,1
2009-07,0,0,3,2,1
2009-06,1,1,5,1,0
2009-05,0,2,2,2,0
2009-04,0,5,1,0,1
2009-03,0,3,1,0,0
2009-02,1,4,2,0,0
2009-01,1,5,3,1,0
2009-09,0,6,1,2,0
2009-08,1,4,4,0,0
2015-09,2,4,1,3,2
2013-12,6,6,7,0,0
2013-11,0,1,1,6,0
2013-10,0,2,6,0,0
2017-01,0,1,1,3,1
2009-10,0,0,5,3,0
2009-11,0,5,1,0,0
2009-12,0,4,0,0,0
