date,star1,star2,star3,star4,star5
2014-09,3,0,0,0,0
2014-08,2,2,0,0,0
2014-04,3,0,0,0,2
2014-07,6,0,0,0,0
2014-06,1,0,0,0,0
2014-03,2,0,0,0,2
2010-06,2,0,0,0,0
2015-10,2,0,0,0,0
2013-07,2,0,0,0,0
2013-01,2,0,0,0,0
2013-02,2,0,0,0,0
2016-10,4,0,0,0,1
2013-10,2,0,0,0,0
2015-06,1,0,0,0,0
2015-07,10,0,0,0,1
2015-04,2,0,0,0,0
2015-05,2,0,0,0,0
2015-02,1,0,0,0,0
2015-03,2,0,0,0,0
2014-12,6,0,0,0,1
2014-11,4,0,0,1,1
2011-10,4,0,0,0,0
2015-08,4,0,0,0,0
2015-09,0,1,0,0,0
2012-08,4,0,0,0,1
2012-03,2,0,0,0,0
2012-01,2,0,0,0,0
2012-07,4,0,0,0,0
2012-06,2,0,0,0,0
2013-11,1,0,0,0,0
2010-11,2,0,0,0,0
2016-07,2,0,0,0,0
2016-05,4,0,0,0,1
2016-04,2,0,0,0,1
2016-03,2,0,0,0,0
2016-02,2,0,0,0,0
2016-01,2,0,0,0,0
2016-09,0,0,0,1,3
2016-08,3,0,0,0,0
