date,star1,star2,star3,star4,star5
2014-09,0,1,3,13,11
2014-08,0,1,1,4,11
2014-05,1,8,16,43,48
2014-04,0,0,3,7,8
2014-07,3,14,20,54,44
2014-06,1,0,2,6,13
2014-01,1,3,6,15,17
2014-03,0,2,3,15,18
2014-02,1,1,4,9,11
2010-01,0,1,0,18,12
2010-03,0,0,2,6,3
2010-02,0,0,1,4,1
2013-08,0,1,2,9,17
2013-09,2,3,25,52,55
2010-07,0,0,2,4,5
2010-06,1,1,2,4,5
2010-09,1,5,12,12,10
2010-08,1,2,4,18,20
2013-06,0,1,6,10,16
2013-07,5,3,13,33,58
2013-01,3,3,6,10,7
2013-02,0,2,1,9,8
2013-03,2,9,15,35,42
2012-07,1,1,9,48,53
2010-10,0,0,2,2,3
2010-11,1,2,4,24,26
2015-06,1,2,3,9,19
2015-07,8,9,13,52,54
2015-04,4,9,16,40,43
2015-05,5,9,9,55,46
2015-02,0,3,1,11,7
2015-03,1,1,4,8,10
2015-01,7,6,5,35,36
2014-12,0,1,2,10,9
2014-10,2,1,3,7,7
2014-11,0,3,2,8,8
2011-11,0,2,0,11,9
2011-10,0,1,1,9,2
2015-08,0,1,1,7,17
2015-09,0,4,8,3,10
2012-09,0,0,1,7,10
2012-08,0,1,3,6,13
2012-03,0,1,4,8,6
2012-02,0,1,1,5,4
2012-01,0,2,1,7,4
2010-12,0,1,0,4,13
2012-06,0,0,0,7,7
2012-05,0,1,10,30,34
2012-04,1,1,1,5,7
2016-07,0,0,1,2,11
2016-06,1,2,3,8,4
2016-05,1,1,2,2,9
2016-04,2,3,1,7,7
2016-03,0,1,4,9,6
2016-02,0,3,1,9,4
2016-01,0,1,1,8,15
2010-05,0,1,2,2,7
2016-09,0,0,2,5,4
2016-08,1,2,4,2,9
2011-08,0,0,3,6,6
2011-09,0,0,1,12,7
2011-02,0,2,2,3,8
2011-03,1,0,2,5,5
2011-01,1,0,2,9,1
2011-06,0,1,3,7,14
2011-07,1,4,5,39,48
2011-04,0,2,5,5,5
2011-05,1,3,9,30,31
2013-04,0,0,0,5,8
2015-10,1,1,7,7,11
2012-10,0,8,8,22,33
2012-11,1,2,2,14,7
2012-12,3,8,12,31,30
2007-09,0,2,2,4,7
2007-08,0,0,0,6,7
2015-12,6,7,19,36,63
2007-01,0,0,0,3,1
2007-03,0,0,2,2,2
2007-02,0,0,0,1,0
2007-05,0,1,0,1,1
2007-04,0,0,0,5,2
2007-07,0,1,0,10,1
2007-06,0,0,0,4,5
2016-10,0,2,3,5,5
2016-11,0,1,1,2,11
2016-12,3,2,17,20,46
2007-12,0,1,1,10,0
2007-10,0,0,1,1,2
2007-11,0,0,1,1,0
2006-01,0,0,0,2,1
2006-06,0,0,0,0,2
2006-04,0,0,0,2,0
2008-12,2,2,1,5,8
2008-11,0,0,1,1,0
2006-09,0,1,0,2,1
2005-10,0,0,0,0,1
2005-12,0,0,0,2,0
2008-08,0,0,2,2,1
2008-09,0,4,2,7,4
2008-01,0,0,4,8,10
2008-02,0,0,1,8,0
2008-03,0,0,0,2,2
2008-04,0,0,2,5,2
2008-05,0,0,1,4,7
2008-06,0,4,3,7,4
2008-07,0,1,6,8,6
2010-04,0,0,0,3,8
2015-11,2,1,3,4,7
2006-08,0,0,0,2,2
2008-10,0,0,6,5,3
2009-07,0,1,5,11,9
2009-06,0,0,0,1,3
2009-05,0,0,0,2,0
2009-04,0,0,4,12,3
2009-03,0,0,0,4,1
2009-02,0,0,7,5,6
2009-01,0,2,1,12,16
2009-09,1,0,0,1,0
2009-08,0,0,3,2,3
2011-12,0,0,6,11,7
2013-12,0,0,4,8,15
2013-11,1,0,2,13,18
2013-10,0,1,4,17,16
2013-05,0,2,6,8,9
2017-01,0,0,0,4,4
2009-10,0,0,1,4,1
2009-11,0,0,2,1,1
2009-12,0,2,1,6,4
