date,star1,star2,star3,star4,star5
2015-01,1,2,0,0,0
2011-08,0,0,0,2,1
2011-09,0,0,1,0,1
2014-09,0,1,0,0,0
2014-08,2,0,0,1,0
2014-05,0,0,0,0,2
2011-03,3,1,2,2,1
2014-07,1,0,0,2,0
2014-06,1,0,0,0,2
2011-06,3,0,0,2,5
2011-07,0,0,0,1,1
2014-03,0,0,1,4,0
2014-02,0,3,0,1,8
2010-09,0,1,0,8,1
2013-08,0,2,5,8,10
2013-09,0,0,0,2,3
2010-07,0,0,0,0,1
2010-06,0,0,0,4,0
2012-10,3,2,0,5,3
2010-08,0,0,0,5,4
2013-06,0,0,5,2,9
2008-07,0,0,4,6,3
2012-12,0,0,1,3,1
2013-02,1,0,2,8,10
2013-03,0,0,0,1,3
2008-08,0,0,1,2,1
2007-08,0,0,0,1,7
2010-10,0,1,0,0,0
2013-07,0,1,2,0,2
2006-12,1,0,0,0,2
2007-01,0,0,3,0,1
2010-12,0,2,0,1,5
2007-03,0,0,2,0,0
2008-03,0,0,2,5,4
2008-04,0,0,2,6,3
2008-05,1,0,1,5,7
2007-07,0,2,0,0,4
2013-01,0,3,1,4,1
2009-07,2,1,0,0,0
2009-06,0,0,1,0,0
2009-04,0,1,0,0,1
2009-03,0,2,1,2,0
2009-02,0,2,1,1,0
2009-01,0,0,0,3,1
2014-04,2,2,3,5,0
2012-04,1,0,3,8,4
2007-09,0,0,0,5,2
2011-01,0,0,1,0,1
2015-02,1,0,0,0,0
2015-03,0,1,0,0,0
2013-04,0,0,0,14,0
2008-09,0,0,0,0,2
2014-12,0,1,0,0,0
2014-01,0,0,1,2,1
2014-10,0,1,2,4,1
2014-11,0,0,0,0,1
2011-11,0,0,3,2,2
2011-10,0,0,0,2,0
2011-12,0,0,0,4,8
2007-04,0,0,0,0,1
2012-09,0,2,1,8,4
2012-08,0,0,0,4,14
2007-12,0,0,0,0,4
2007-10,0,0,0,2,1
2007-11,0,1,0,1,0
2012-03,0,0,2,11,6
2012-02,0,1,0,8,6
2012-01,1,0,0,10,6
2011-05,0,1,1,0,0
2012-07,0,0,2,6,5
2012-06,0,1,3,5,2
2013-11,1,3,3,7,8
2013-10,1,0,2,6,7
2013-05,0,0,1,3,1
2007-06,0,0,0,0,1
2012-11,0,1,0,1,1
2008-12,0,1,0,2,0
2008-11,0,0,1,1,0
2013-12,0,0,0,2,1
2012-05,2,0,2,2,6
2008-06,0,0,0,1,0
2008-01,0,0,0,5,2
2011-02,0,0,0,4,3
