date,star1,star2,star3,star4,star5
2014-09,1,0,2,0,0
2014-08,2,0,0,0,0
2011-02,0,0,2,0,0
2014-07,4,0,0,1,0
2014-06,2,0,1,0,0
2015-11,0,1,0,0,0
2013-08,0,1,0,0,0
2010-06,0,2,1,0,0
2013-04,0,2,0,0,0
2010-08,0,0,1,0,0
2013-06,0,0,1,2,0
2013-07,0,2,1,0,2
2013-03,1,0,3,0,2
2007-09,0,0,0,2,0
2007-08,0,0,0,2,0
2008-04,1,0,0,0,0
2009-01,3,0,0,0,0
2015-07,2,3,3,0,0
2015-04,0,0,1,1,0
2015-05,0,0,0,0,4
2015-03,0,5,2,0,0
2015-01,5,0,1,0,0
2014-12,1,0,0,1,0
2014-10,0,0,0,0,2
2014-11,2,5,0,0,0
2011-12,0,1,0,0,0
2012-08,1,1,0,0,0
2011-01,0,0,0,2,0
2012-02,2,0,0,0,0
2012-01,2,0,0,0,0
2012-05,2,0,0,0,0
2012-11,0,2,0,0,0
2009-10,2,0,0,0,0
2016-02,0,0,1,0,0
2016-01,1,0,0,0,0
2010-05,0,0,0,2,0
2016-08,0,0,0,1,0
