date,star1,star2,star3,star4,star5
2014-09,0,0,0,2,2
2011-02,0,0,0,1,0
2014-07,0,0,0,2,2
2009-03,0,0,0,0,3
2011-06,0,1,0,4,0
2011-04,1,2,2,4,0
2011-05,0,2,0,2,0
2012-10,1,0,0,0,0
2010-03,0,0,0,2,0
2010-05,0,0,0,1,2
2010-04,0,0,1,0,0
2015-11,0,0,1,1,0
2013-05,0,0,1,0,0
2013-06,0,0,0,1,0
2015-12,0,0,1,1,5
2007-09,0,0,0,0,2
2013-07,0,2,0,0,1
2010-09,0,1,0,0,0
2010-12,0,0,0,2,0
2008-05,0,0,0,0,2
2007-06,0,0,0,0,2
2009-05,0,0,0,6,0
2016-10,0,2,0,0,4
2016-11,0,0,0,0,1
2016-03,1,0,0,0,1
2009-09,0,0,0,3,0
2009-08,0,0,0,0,2
2015-06,0,0,0,3,0
2015-07,0,4,0,7,1
2014-06,0,0,0,1,0
2015-02,0,0,1,4,0
2015-03,0,0,0,2,0
2015-01,0,0,1,1,1
2014-12,0,0,0,0,3
2014-01,0,1,0,0,1
2015-08,0,0,0,1,8
2015-09,0,4,0,5,6
2014-03,1,2,0,0,1
2012-02,0,0,0,2,0
2012-01,0,0,0,2,0
2011-12,0,0,0,1,0
2012-07,1,0,0,4,0
2012-06,0,0,1,4,0
2013-11,0,0,0,2,0
2008-12,0,0,0,2,0
2010-10,2,0,0,0,0
2016-07,2,2,0,0,10
2016-05,1,0,1,1,0
2016-04,0,1,0,2,1
2009-10,0,0,2,0,0
2016-02,1,0,0,2,0
2016-01,1,0,0,0,1
2013-08,0,0,1,0,0
2016-09,0,0,1,0,9
2016-08,2,0,0,4,7
