date,star1,star2,star3,star4,star5
2014-09,0,2,0,2,0
2014-08,1,2,0,2,2
2014-04,1,0,2,0,1
2014-07,1,0,0,2,1
2014-06,0,0,0,0,2
2014-01,2,0,0,0,0
2014-03,0,0,0,0,5
2014-02,0,2,0,0,0
2012-10,0,0,0,0,2
2013-08,1,0,0,2,2
2013-09,3,0,0,0,0
2015-10,4,0,0,0,2
2013-04,0,0,0,0,5
2013-05,0,0,0,1,3
2012-12,0,2,0,0,4
2013-07,2,2,0,0,0
2013-06,0,0,0,4,7
2013-02,0,0,0,3,4
2013-03,0,0,2,0,4
2015-12,3,0,0,0,2
2013-12,0,2,0,0,4
2016-10,0,0,0,0,5
2016-11,1,1,0,1,10
2016-12,0,0,0,0,16
2015-06,1,1,0,0,0
2015-07,0,1,0,0,1
2015-04,0,0,0,0,1
2015-05,0,0,0,1,2
2015-02,0,0,2,0,1
2015-01,0,0,0,2,2
2014-12,0,0,0,0,1
2014-11,1,0,0,0,0
2015-08,0,0,0,4,1
2015-09,3,2,0,0,0
2012-09,0,0,0,0,4
2013-01,0,0,0,0,2
2012-06,0,0,0,0,4
2013-11,0,0,0,1,2
2013-10,0,0,2,0,6
2012-11,0,0,0,0,2
2017-01,0,1,1,1,6
2016-07,1,0,0,1,1
2016-06,0,0,1,2,1
2016-05,0,0,0,1,3
2016-04,3,0,1,1,2
2016-03,2,2,0,0,1
2016-02,0,2,0,0,0
2016-09,1,0,0,1,1
2016-08,2,0,0,2,1
