date,star1,star2,star3,star4,star5
2014-09,1,0,0,4,6
2014-08,1,3,4,2,4
2014-05,2,1,2,4,4
2014-04,0,1,0,6,8
2014-07,0,0,3,3,5
2014-06,3,4,6,8,9
2014-01,0,2,3,5,4
2014-03,2,2,4,6,6
2014-02,0,0,5,6,7
2010-01,0,0,0,2,0
2010-03,0,0,3,6,5
2010-02,0,0,0,2,1
2013-08,0,0,1,16,3
2010-04,0,0,2,0,10
2010-07,0,2,2,2,4
2010-06,0,1,1,1,1
2015-11,2,1,4,4,5
2010-08,0,0,5,6,2
2013-06,0,0,3,4,6
2015-12,4,1,2,6,3
2013-01,0,1,1,3,1
2013-02,0,2,0,6,1
2013-03,1,2,1,15,1
2012-07,0,1,2,2,2
2012-05,0,0,3,6,3
2010-11,1,1,0,3,3
2015-06,2,3,3,5,6
2015-07,2,3,2,11,7
2015-04,5,1,3,8,8
2015-05,1,1,6,4,7
2015-02,1,0,1,3,5
2015-03,1,3,3,5,3
2015-01,0,0,6,5,9
2014-12,1,2,3,2,9
2014-10,0,0,0,7,4
2014-11,0,2,2,5,4
2011-11,0,1,2,5,0
2011-10,0,0,0,4,1
2015-08,4,3,1,7,12
2011-12,0,0,1,4,1
2012-09,0,0,0,3,3
2012-08,2,0,2,3,1
2012-03,0,0,2,6,3
2012-02,0,0,3,9,4
2012-01,0,0,2,6,1
2010-12,0,1,0,9,5
2012-06,0,1,4,5,8
2010-10,0,0,5,7,0
2012-04,0,0,0,4,4
2016-07,2,0,2,6,5
2016-06,0,1,1,0,6
2016-05,2,0,2,7,4
2016-04,1,0,1,3,8
2016-03,10,0,4,9,8
2016-02,1,3,2,1,7
2016-01,4,2,7,9,8
2010-05,0,0,1,2,1
2016-09,0,0,0,0,6
2013-09,1,0,1,3,3
2011-08,0,0,0,5,3
2011-09,0,0,1,4,1
2011-02,0,0,0,9,5
2011-03,1,0,0,5,3
2011-01,0,0,2,3,1
2011-06,0,0,0,9,3
2011-07,0,0,0,6,3
2011-04,0,0,10,6,3
2011-05,0,0,2,15,5
2013-04,1,0,1,9,2
2015-10,3,2,2,8,5
2012-10,0,0,2,5,6
2012-11,0,0,2,5,0
2012-12,0,1,2,2,1
2013-07,0,1,1,6,1
2010-09,0,0,0,4,0
2016-10,2,2,1,1,5
2016-11,2,0,2,5,3
2016-12,0,1,1,2,5
2008-12,0,0,0,5,3
2008-11,0,0,1,1,1
2008-10,0,0,1,1,1
2016-08,4,2,0,2,10
2008-08,0,0,0,4,2
2008-09,0,0,0,3,2
2008-03,0,0,2,1,0
2008-04,0,0,0,3,1
2008-05,0,2,2,1,2
2008-06,0,0,0,4,0
2008-07,0,0,2,6,0
2009-07,0,0,1,3,5
2009-06,0,0,2,3,0
2009-05,0,0,2,2,3
2009-04,0,1,0,3,2
2009-03,0,0,1,2,1
2009-02,0,0,2,3,0
2009-01,0,2,0,0,1
2009-09,0,0,2,3,0
2009-08,0,1,2,2,3
2015-09,0,1,2,6,6
2013-12,2,1,0,1,4
2013-11,1,2,2,6,10
2013-10,2,0,3,8,2
2013-05,2,2,3,2,3
2017-01,0,0,0,1,6
2009-10,2,0,0,1,0
2009-11,0,0,0,3,0
2009-12,0,0,1,2,3
