date,star1,star2,star3,star4,star5
2011-08,0,3,0,2,0
2011-09,0,0,0,0,2
2014-08,0,0,0,1,0
2014-05,0,0,0,1,1
2011-03,1,0,0,1,0
2014-07,0,0,1,0,1
2014-06,0,0,0,1,1
2014-01,0,0,0,0,3
2007-06,0,0,0,2,0
2014-03,0,1,0,0,0
2014-02,0,0,0,2,0
2010-01,0,0,0,0,4
2010-09,2,0,0,0,2
2010-03,0,0,0,3,2
2013-08,0,0,0,1,1
2010-04,0,0,0,1,1
2010-06,0,0,0,0,2
2013-04,0,0,0,0,4
2013-05,0,0,0,0,1
2013-06,0,2,2,0,2
2013-07,0,0,0,3,0
2012-12,0,0,0,0,2
2013-03,0,0,0,0,2
2008-08,0,2,0,0,4
2007-08,0,0,0,2,0
2006-10,0,0,0,0,2
2007-01,0,0,1,2,0
2007-03,2,0,0,0,0
2008-03,0,0,0,2,2
2008-06,0,0,0,2,2
2013-01,0,0,0,1,2
2009-07,0,0,0,0,4
2009-06,1,0,0,0,1
2009-04,0,0,0,0,2
2009-03,0,0,1,2,2
2009-02,0,0,0,2,2
2014-04,0,0,2,0,2
2012-10,0,0,0,0,2
2009-09,0,0,1,0,0
2009-08,0,0,0,0,4
2011-01,2,0,1,0,0
2011-06,0,0,2,0,2
2013-12,0,0,0,0,1
2011-11,0,0,0,2,0
2011-10,0,0,1,0,1
2012-08,0,0,4,2,2
2007-12,0,0,0,2,0
2007-11,0,0,0,1,2
2012-03,0,1,0,3,2
2012-02,0,1,0,7,4
2012-01,0,0,0,0,4
2012-07,0,0,0,0,2
2012-06,1,0,2,1,2
2010-10,0,0,0,4,0
2012-04,0,0,1,0,2
2006-03,0,0,0,0,2
2006-01,0,0,0,0,2
2008-12,0,0,0,2,2
2008-11,0,0,0,1,2
2012-05,0,0,2,0,0
2007-07,0,1,0,0,0
2009-10,0,0,0,0,2
2009-11,0,0,0,2,4
2011-02,0,0,1,1,2
2006-08,0,0,2,0,0
2013-09,0,0,0,0,1
