date,star1,star2,star3,star4,star5
2014-09,0,2,0,0,4
2011-02,2,0,0,0,0
2011-03,0,0,0,0,2
2014-07,0,2,0,0,2
2014-01,2,0,0,0,0
2014-03,1,0,0,0,0
2011-05,0,0,2,2,0
2013-08,2,0,0,0,0
2013-09,4,0,0,0,0
2013-05,0,0,0,2,0
2012-10,0,0,0,2,0
2015-10,5,0,0,0,0
2012-12,0,2,0,0,0
2013-01,2,0,0,0,0
2016-10,3,0,0,1,0
2016-11,2,0,0,0,0
2014-04,4,0,0,0,0
2015-06,1,1,0,0,0
2015-07,4,0,0,0,0
2015-04,2,0,2,0,0
2015-05,2,4,0,0,0
2015-02,3,4,0,0,1
2015-03,2,0,0,0,1
2015-01,3,0,0,0,0
2014-11,0,0,0,0,2
2015-08,1,0,0,0,0
2015-09,2,0,0,0,0
2012-09,2,0,0,0,0
2012-01,0,2,0,0,0
2014-02,3,0,0,0,0
2010-12,0,0,0,0,2
2012-06,0,2,0,0,0
2013-11,0,1,0,0,0
2013-10,2,0,0,0,0
2016-07,1,0,0,0,0
2016-06,4,0,0,0,0
2016-05,8,2,0,0,0
2016-04,9,0,0,0,0
2016-03,4,0,0,0,2
2016-02,2,1,0,0,0
2016-01,1,0,0,0,1
2016-09,8,0,0,0,0
2016-08,4,0,0,0,0
