date,star1,star2,star3,star4,star5
2014-09,0,0,0,2,3
2015-11,2,5,1,1,2
2015-10,4,1,6,2,2
2015-12,1,6,5,9,2
2016-10,0,0,4,0,1
2016-11,4,0,0,2,2
2016-12,2,0,0,7,4
2015-06,7,3,2,1,1
2015-07,4,3,3,5,1
2015-04,1,0,2,3,2
2015-05,3,2,2,0,2
2015-02,5,0,1,1,2
2015-03,4,2,2,2,2
2015-01,2,2,1,0,0
2014-12,7,3,3,1,1
2014-10,4,2,2,2,5
2014-11,1,0,1,5,2
2015-08,3,4,0,4,5
2015-09,1,1,1,0,3
2017-01,1,2,1,2,2
2016-07,1,4,3,1,2
2016-06,3,4,6,5,3
2016-05,2,2,0,1,1
2016-04,0,4,1,6,0
2016-03,0,3,1,1,1
2016-02,3,2,1,2,0
2016-01,0,4,0,5,3
2016-09,2,2,0,0,2
2016-08,3,3,2,2,0
