date,star1,star2,star3,star4,star5
2011-02,0,0,0,4,0
2011-03,0,0,2,0,0
2014-07,0,0,0,0,2
2010-01,0,0,0,2,2
2010-04,0,2,0,0,0
2012-11,0,1,0,0,0
2015-11,2,4,4,5,3
2013-05,0,0,0,2,0
2013-06,0,0,0,2,0
2015-12,0,2,0,4,2
2013-01,0,0,2,3,0
2013-02,0,0,0,2,0
2016-11,0,0,1,0,0
2016-12,0,0,0,2,0
2015-05,0,0,2,2,0
2015-01,0,0,2,0,0
2014-12,0,0,2,0,0
2014-11,4,1,3,3,0
2011-12,41,16,9,0,1
2012-03,2,0,0,0,0
2012-02,0,1,0,0,0
2010-12,0,0,1,10,7
2013-12,0,2,8,5,7
2013-11,2,6,10,12,4
2012-04,2,0,0,0,0
2017-01,0,0,0,2,0
2016-09,0,0,2,0,0
