date,star1,star2,star3,star4,star5
2015-11,1,0,1,0,2
2015-10,2,2,0,1,11
2015-12,1,2,0,3,7
2016-10,0,0,2,1,0
2016-11,2,0,0,0,0
2015-06,2,0,0,6,10
2015-07,2,1,1,4,10
2015-04,0,0,0,10,18
2015-05,1,0,0,4,14
2015-02,2,0,0,0,4
2015-03,2,0,2,1,0
2015-01,0,0,0,0,2
2014-12,0,0,0,0,1
2014-10,0,0,0,0,3
2014-11,0,0,0,0,2
2015-08,1,0,1,3,15
2015-09,0,2,1,4,13
2017-01,2,0,0,0,0
2016-07,0,0,1,0,2
2016-06,0,0,0,0,3
2016-05,0,0,1,2,4
2016-04,0,1,1,0,2
2016-03,1,1,0,2,3
2016-02,2,1,1,3,8
2016-01,2,0,0,2,8
2016-09,2,1,0,0,0
2016-08,2,2,0,0,0
