date,star1,star2,star3,star4,star5
2014-08,4,0,0,0,0
2014-05,4,0,0,0,1
2014-04,4,0,0,0,0
2014-07,2,0,0,0,0
2014-06,0,0,0,0,1
2014-03,0,0,0,0,1
2014-02,2,2,0,0,0
2013-04,0,0,0,0,2
2010-02,0,0,0,0,2
2013-08,0,2,0,0,0
2013-09,0,0,0,0,2
2010-06,0,0,2,0,0
2012-10,2,0,0,0,0
2015-10,0,0,2,0,3
2013-06,2,0,0,0,0
2015-12,0,0,2,2,0
2009-10,0,0,0,0,2
2013-02,0,0,0,1,1
2013-03,3,0,0,0,0
2013-07,1,0,0,0,1
2008-03,2,0,0,0,0
2016-10,3,0,0,0,1
2016-11,2,0,0,0,0
2016-12,3,0,0,0,2
2011-03,0,0,2,0,0
2009-03,0,0,0,0,2
2012-04,0,2,0,3,0
2015-06,1,0,0,0,0
2015-07,1,0,0,0,1
2015-04,2,0,0,0,4
2015-05,5,2,0,0,0
2015-02,0,1,1,0,2
2015-03,8,2,1,0,0
2015-11,2,2,0,0,2
2015-01,2,0,0,2,0
2014-10,0,1,0,0,1
2014-11,2,0,1,1,0
2015-08,2,0,0,0,6
2015-09,2,0,0,0,4
2012-09,0,0,0,2,0
2012-08,2,2,0,0,0
2012-03,0,0,0,1,0
2011-12,0,0,2,0,0
2012-07,0,0,0,2,0
2012-05,0,0,0,0,2
2013-10,0,0,0,0,3
2017-01,1,0,0,0,3
2016-07,0,0,0,1,3
2016-06,0,0,0,0,2
2016-05,2,0,0,0,1
2016-04,1,0,0,0,1
2016-03,1,2,0,0,1
2016-02,2,1,1,0,1
2016-01,1,0,0,0,2
2016-09,6,0,0,0,1
2016-08,5,0,0,0,0
