date,star1,star2,star3,star4,star5
2011-08,0,0,0,7,8
2011-09,0,0,0,2,8
2014-09,4,2,1,3,9
2014-08,3,0,2,4,12
2012-12,0,2,0,0,10
2014-05,0,0,0,3,16
2014-04,0,0,2,5,9
2014-07,0,1,0,2,11
2014-06,0,0,1,3,6
2014-01,0,0,2,7,16
2011-07,0,0,2,1,11
2014-03,1,0,1,3,14
2014-02,0,0,2,1,8
2013-04,0,1,0,3,9
2013-08,0,0,1,0,13
2013-09,0,0,0,4,6
2015-10,0,0,0,2,14
2012-10,0,2,0,3,10
2013-05,2,3,2,3,5
2013-06,0,0,0,2,9
2015-12,0,1,0,2,12
2013-01,0,2,1,1,13
2013-02,2,2,0,5,6
2013-03,0,0,0,5,7
2013-07,0,0,1,4,9
2012-06,0,0,4,7,4
2016-10,0,1,0,1,25
2013-11,0,0,2,5,9
2016-12,0,0,0,2,6
2012-04,0,0,0,3,5
2016-11,1,0,0,1,8
2015-06,1,1,0,3,7
2015-07,0,0,3,4,21
2015-04,2,2,0,5,12
2015-05,1,1,1,0,16
2015-02,1,2,0,7,13
2015-03,1,1,2,1,14
2015-11,1,0,4,5,13
2015-01,2,0,0,7,7
2014-12,1,0,0,2,6
2011-06,0,0,2,7,19
2014-10,0,1,0,1,10
2014-11,0,0,2,0,5
2011-11,0,0,0,0,5
2011-10,0,0,0,6,6
2015-08,0,0,2,9,21
2015-09,1,1,0,4,14
2012-09,0,0,0,1,5
2012-08,0,0,2,1,11
2012-03,0,0,0,2,5
2012-02,2,0,1,2,3
2012-01,0,0,0,0,2
2011-12,0,0,0,0,6
2012-07,0,0,0,4,10
2013-12,0,0,3,2,7
2012-05,0,0,0,0,7
2013-10,0,0,0,0,11
2012-11,0,0,0,2,9
2017-01,0,1,1,3,5
2016-07,0,0,0,2,9
2016-06,0,1,1,3,9
2016-05,0,0,1,3,13
2016-04,2,1,0,3,10
2016-03,0,0,1,3,12
2016-02,1,0,0,2,9
2016-01,0,1,1,1,11
2016-09,0,0,1,0,8
2016-08,0,1,1,4,13
