date,star1,star2,star3,star4,star5
2014-09,0,0,1,0,0
2014-08,0,1,0,1,0
2014-05,0,2,0,4,0
2014-04,0,0,0,0,6
2014-07,0,0,0,0,1
2014-06,6,3,0,1,0
2014-03,0,0,2,7,2
2014-02,0,0,0,1,4
2015-10,1,0,1,0,1
2016-11,0,0,0,2,1
2016-12,0,0,0,1,0
2015-06,4,6,0,2,2
2015-07,2,8,0,3,7
2015-04,0,0,1,1,0
2015-05,0,0,0,1,4
2015-02,4,0,5,1,3
2015-03,0,0,0,5,7
2015-01,1,0,0,2,1
2014-10,0,0,0,0,1
2015-08,2,6,0,3,9
2015-09,3,1,0,1,0
2016-07,0,2,2,0,0
2016-06,2,0,0,0,3
2016-05,1,0,0,0,2
2016-04,3,2,2,0,5
2016-03,0,0,4,2,10
2016-02,0,4,2,1,4
2016-01,0,0,0,2,0
2016-09,0,0,0,3,6
2016-08,6,0,1,1,1
