date,star1,star2,star3,star4,star5
2014-09,0,0,2,4,26
2014-08,2,0,1,10,82
2014-07,1,0,1,3,40
2014-06,0,0,0,1,4
2015-11,1,4,4,19,119
2015-10,8,8,3,22,103
2015-12,9,3,9,16,78
2016-10,4,2,5,8,91
2016-11,3,3,4,14,116
2016-12,2,2,6,9,131
2015-06,4,6,11,8,133
2015-07,8,3,10,17,158
2015-04,1,5,2,12,70
2015-05,6,0,2,13,106
2015-02,1,0,4,4,21
2015-03,2,2,4,14,87
2015-01,2,4,0,13,42
2014-12,0,3,4,6,39
2014-10,0,2,0,10,50
2014-11,1,0,0,4,16
2015-08,2,4,3,13,76
2015-09,15,2,6,15,90
2017-01,1,3,2,12,70
2016-07,2,0,11,15,142
2016-06,4,5,6,10,116
2016-05,1,7,10,11,126
2016-04,6,7,8,15,74
2016-03,2,4,13,24,127
2016-02,9,8,10,23,140
2016-01,3,3,10,14,74
2016-09,2,3,4,7,116
2016-08,3,4,7,17,105
