date,star1,star2,star3,star4,star5
2014-09,1,0,1,11,7
2014-08,1,1,1,0,7
2014-05,0,0,0,4,4
2014-04,2,0,1,2,5
2014-07,2,1,0,3,6
2014-06,8,0,2,2,17
2014-01,0,1,0,0,1
2014-03,2,1,0,1,3
2014-02,0,2,1,0,4
2010-01,0,0,1,0,1
2010-03,0,1,2,2,0
2013-08,0,4,0,2,2
2010-04,0,0,2,0,2
2010-07,0,0,0,2,2
2010-06,0,0,0,4,2
2015-11,1,0,0,4,6
2010-08,0,0,2,6,0
2013-06,2,0,0,2,9
2013-07,0,1,1,0,4
2013-01,0,0,1,1,0
2013-02,0,2,0,2,0
2013-03,0,1,2,3,3
2012-07,0,0,0,5,6
2010-10,1,0,0,3,0
2012-04,0,0,0,4,3
2015-06,6,4,1,4,3
2015-07,2,1,3,3,1
2015-04,4,2,3,3,4
2015-05,1,0,1,3,6
2015-02,2,1,2,5,4
2015-03,3,0,0,4,2
2015-01,0,0,0,4,4
2014-12,0,2,0,5,0
2014-10,4,0,0,0,2
2014-11,0,0,3,1,2
2011-11,0,0,1,0,2
2011-10,0,0,0,3,4
2015-08,1,0,0,2,2
2015-09,0,0,0,2,3
2012-09,0,2,1,1,1
2012-08,0,0,0,5,0
2012-03,2,1,2,2,4
2012-02,0,0,0,3,0
2012-01,0,2,0,5,0
2010-12,0,0,0,1,1
2012-06,0,7,0,2,2
2012-05,2,0,0,5,1
2010-11,0,0,0,2,2
2016-07,0,4,1,3,8
2016-06,2,3,0,0,4
2016-05,0,0,2,1,1
2016-04,2,2,0,3,5
2016-03,0,1,3,1,1
2016-02,4,2,1,5,2
2016-01,0,0,0,3,2
2010-05,0,0,0,0,1
2016-09,4,0,0,0,6
2016-08,4,0,2,5,12
2011-08,0,0,0,1,3
2011-09,0,0,1,5,2
2011-02,0,0,0,0,4
2011-03,2,0,2,0,1
2011-01,0,0,0,1,0
2011-06,0,0,2,2,1
2011-07,0,3,0,2,0
2011-04,1,0,1,1,1
2011-05,1,0,1,1,2
2013-04,1,2,2,8,5
2013-05,12,7,0,5,3
2012-10,0,0,0,4,0
2012-11,0,0,2,0,2
2012-12,2,2,0,0,1
2015-12,0,2,1,0,4
2010-09,0,2,0,2,0
2006-12,0,0,0,0,2
2007-03,0,0,0,0,2
2007-05,0,0,0,0,2
2016-10,2,2,0,2,0
2016-11,0,1,0,3,4
2016-12,1,0,0,1,3
2007-12,0,0,0,0,2
2007-10,0,0,1,0,0
2008-11,0,1,0,1,0
2006-09,0,0,0,2,2
2008-04,0,0,1,0,0
2015-10,2,0,2,1,0
2013-09,0,0,0,1,3
2009-05,0,0,2,2,1
2009-04,0,1,0,0,0
2009-03,0,0,0,2,0
2009-02,0,0,0,2,0
2009-01,0,0,0,2,1
2009-09,0,0,0,0,2
2009-08,0,0,1,0,0
2011-12,0,0,0,0,2
2013-12,0,1,0,0,1
2013-11,0,0,0,0,1
2013-10,1,0,1,4,2
2017-01,0,1,0,1,0
