date,star1,star2,star3,star4,star5
2014-08,0,0,0,0,2
2011-02,1,0,0,1,0
2011-01,0,2,3,0,0
2014-01,0,3,2,1,0
2011-04,2,0,0,0,0
2010-01,0,0,0,1,0
2010-04,0,1,0,0,0
2013-04,0,0,2,0,0
2013-05,2,0,0,0,0
2012-12,0,0,0,1,0
2015-12,4,0,0,0,0
2013-01,0,0,2,0,0
2013-02,0,3,2,3,0
2013-03,2,0,0,0,0
2012-07,0,0,0,2,0
2008-03,0,2,0,0,0
2009-03,0,0,2,0,0
2016-12,2,1,0,2,6
2009-11,0,0,0,1,0
2015-07,0,0,0,2,1
2015-02,1,0,0,2,0
2015-03,0,0,1,2,1
2008-01,0,1,0,0,0
2015-01,1,1,1,2,1
2014-12,5,1,4,0,0
2011-12,0,0,0,2,0
2012-08,0,0,0,2,0
2014-03,0,0,1,0,0
2012-03,0,0,0,0,2
2010-12,0,2,3,0,0
2013-12,2,0,0,0,0
2013-10,0,0,0,0,2
2017-01,3,0,0,5,2
2016-06,2,0,0,0,0
2016-03,2,0,2,0,0
2016-02,8,0,2,2,4
2016-01,0,2,1,4,0
2008-12,0,1,0,0,0
2016-09,2,0,0,1,0
2016-08,2,0,0,3,0
