date,star1,star2,star3,star4,star5
2011-08,0,0,1,3,11
2011-09,0,0,1,3,4
2011-02,0,0,1,4,3
2011-03,0,0,0,1,9
2011-01,0,0,6,6,0
2011-06,0,0,6,4,7
2011-07,0,0,0,4,6
2011-04,0,0,6,4,7
2011-05,0,0,0,3,1
2010-01,0,0,2,4,1
2010-03,0,1,0,4,4
2010-02,0,1,0,5,3
2010-05,0,0,0,2,4
2010-04,0,0,0,3,4
2010-07,0,0,0,2,3
2010-06,0,0,1,1,5
2010-09,0,1,0,2,2
2010-08,0,1,0,3,0
2009-07,0,2,0,0,0
2012-04,0,0,0,0,1
2009-09,0,0,0,0,1
2009-08,0,0,0,2,3
2011-11,0,0,0,7,5
2011-10,1,1,0,0,6
2011-12,0,0,0,7,6
2012-03,0,0,0,0,2
2012-02,0,1,0,1,2
2012-01,0,0,2,1,1
2010-12,0,1,4,2,8
2012-06,0,0,1,0,1
2010-10,0,0,1,2,3
2010-11,0,0,1,4,4
2009-10,0,0,0,2,0
2009-11,0,0,0,5,0
