date,star1,star2,star3,star4,star5
2014-09,10,6,7,5,5
2014-08,7,13,7,6,6
2014-05,10,4,7,8,4
2014-04,19,8,16,17,15
2014-07,14,26,14,4,9
2014-06,9,10,6,8,7
2015-11,7,3,11,4,4
2015-10,1,2,6,2,2
2015-12,1,2,2,2,3
2016-10,2,3,3,2,3
2016-11,5,2,2,0,4
2016-12,4,4,1,5,4
2015-06,4,4,3,8,6
2015-07,3,4,5,7,9
2015-04,2,2,3,5,3
2015-05,3,5,5,3,4
2015-02,1,7,4,5,3
2015-03,3,3,7,3,5
2015-01,1,5,5,10,2
2014-12,6,3,10,7,1
2014-10,12,9,7,4,4
2014-11,2,3,7,2,2
2015-08,11,12,13,5,4
2015-09,6,3,7,5,1
2017-01,3,5,2,1,0
2016-07,6,2,3,6,4
2016-06,5,3,4,3,4
2016-05,8,4,8,6,2
2016-04,4,4,1,3,6
2016-03,8,11,5,6,6
2016-02,2,1,7,4,2
2016-01,2,1,2,14,5
2016-09,0,5,6,1,2
2016-08,2,3,6,4,3
