date,star1,star2,star3,star4,star5
2013-06,4,12,25,51,81
2014-09,7,16,23,27,28
2014-08,12,20,29,46,64
2014-05,5,9,14,50,51
2014-04,6,16,25,42,68
2014-07,10,14,19,29,56
2014-06,13,9,33,58,93
2014-01,9,9,27,49,72
2014-03,8,11,29,42,57
2014-02,13,10,16,50,85
2013-04,2,8,21,43,49
2013-08,5,4,14,46,57
2013-09,7,10,21,56,54
2013-05,6,14,20,48,34
2012-10,16,18,27,36,96
2012-11,10,3,10,35,37
2012-12,20,19,42,53,35
2015-12,34,8,14,30,54
2013-01,16,27,26,51,55
2013-02,5,8,22,21,62
2013-03,2,7,9,27,33
2013-07,8,3,27,28,41
2016-10,17,9,20,31,32
2016-11,9,9,17,23,35
2016-12,24,16,21,22,33
2015-06,8,12,22,30,55
2015-07,21,7,20,53,93
2015-04,7,9,25,29,53
2015-05,5,5,9,28,41
2015-02,9,6,19,33,37
2015-03,3,5,13,34,46
2015-11,15,15,13,27,30
2015-01,13,13,18,46,36
2014-12,29,16,22,61,56
2014-10,13,11,35,36,48
2014-11,13,9,15,25,39
2015-08,9,5,20,38,68
2015-09,14,14,29,36,75
2012-09,0,10,9,35,71
2013-12,31,8,17,55,57
2013-11,3,4,16,28,50
2013-10,5,10,16,32,52
2015-10,4,15,11,42,64
2017-01,15,4,7,21,23
2016-07,22,20,21,33,35
2016-06,13,20,32,42,64
2016-05,12,8,14,25,38
2016-04,10,22,26,37,58
2016-03,11,9,12,35,59
2016-02,12,10,25,32,48
2016-01,20,15,47,56,63
2016-09,12,12,11,22,31
2016-08,15,11,23,25,47
