date,star1,star2,star3,star4,star5
2014-05,0,2,0,0,0
2011-03,0,0,0,1,0
2014-06,0,0,0,1,0
2014-01,4,0,0,0,0
2014-03,1,0,0,0,0
2014-02,0,0,2,0,1
2010-03,0,2,0,0,0
2013-09,0,0,2,0,0
2012-11,0,0,1,0,0
2013-04,0,0,4,1,0
2015-10,0,2,0,0,1
2012-12,0,0,3,0,0
2015-12,2,0,0,0,0
2013-06,0,3,0,1,0
2013-03,0,0,1,0,0
2006-11,2,0,0,0,0
2013-12,1,0,0,0,0
2016-10,1,0,0,0,0
2013-11,0,2,0,0,0
2016-12,0,2,0,0,0
2015-05,2,0,2,0,0
2015-01,1,0,0,0,0
2011-06,0,0,2,1,0
2011-11,0,4,0,0,0
2011-10,0,4,2,0,0
2015-09,0,0,2,0,0
2012-02,0,0,0,2,0
2011-05,1,0,0,0,0
2012-06,0,2,1,0,0
2010-10,2,0,0,0,0
2008-10,0,0,2,0,0
2016-06,1,0,0,0,0
2016-05,0,0,1,0,0
2016-04,1,2,4,0,0
2009-11,0,0,0,2,0
2016-01,0,1,2,0,0
2016-08,0,1,0,1,0
