date,star1,star2,star3,star4,star5
2011-08,0,1,2,4,1
2011-09,0,0,0,0,1
2014-05,2,0,2,3,2
2014-04,0,0,2,0,3
2014-07,3,0,6,3,0
2014-06,2,0,0,2,2
2014-01,2,1,0,0,7
2011-07,2,0,2,0,1
2014-03,0,0,1,0,0
2011-05,0,0,0,4,0
2013-04,0,2,0,0,0
2013-08,1,0,0,0,0
2013-09,2,0,0,0,1
2015-10,0,0,0,1,0
2012-10,0,2,0,0,0
2013-05,0,0,0,1,3
2012-12,2,0,0,4,3
2013-07,1,1,0,0,0
2013-06,0,1,0,0,0
2013-02,0,0,1,0,2
2013-03,2,0,2,0,2
2013-01,0,1,1,0,0
2012-05,0,0,0,2,0
2015-06,0,0,0,0,1
2015-04,0,0,0,2,0
2015-05,4,2,0,0,4
2015-02,0,0,1,1,0
2015-03,0,0,0,0,2
2015-01,0,0,0,0,1
2014-10,2,0,0,1,1
2014-11,3,0,0,4,2
2011-10,0,0,0,1,0
2011-12,0,0,0,2,0
2012-09,0,2,0,0,0
2012-08,0,1,0,0,0
2012-03,0,0,0,6,4
2012-02,0,2,1,2,1
2014-02,0,1,0,1,2
2012-07,2,0,0,7,4
2013-11,1,1,0,0,0
2012-04,2,1,2,2,3
