date,star1,star2,star3,star4,star5
2011-08,0,0,0,0,2
2011-09,0,0,2,0,0
2014-09,0,0,0,1,1
2014-08,0,0,1,1,2
2014-05,0,0,1,2,1
2014-04,0,0,1,0,0
2014-07,0,0,1,2,0
2013-09,0,0,1,2,0
2013-04,0,0,0,0,2
2013-05,0,0,0,2,0
2012-12,0,0,0,2,0
2013-10,0,0,0,1,0
2015-04,1,0,0,0,0
2015-05,0,0,0,0,2
2015-02,0,0,1,0,0
2014-12,0,0,0,6,5
2014-10,0,0,1,0,1
2014-11,0,1,0,0,0
2011-11,0,0,0,1,6
2011-12,0,0,0,1,0
2012-09,2,0,0,0,1
2012-03,0,0,0,2,0
2012-02,0,0,1,0,0
2012-01,0,0,0,3,0
2012-07,0,0,0,0,2
2012-04,0,0,0,0,1
