date,star1,star2,star3,star4,star5
2013-06,0,0,2,10,5
2014-09,0,0,4,3,11
2014-08,0,0,2,7,13
2014-05,1,0,1,4,7
2014-04,0,0,2,6,11
2014-07,0,0,3,5,18
2014-06,0,0,0,3,3
2014-01,0,0,0,2,14
2014-03,0,2,0,2,10
2014-02,0,0,0,6,10
2013-04,0,0,4,8,6
2013-08,0,0,0,5,13
2013-09,0,2,3,5,12
2012-11,0,2,0,5,4
2012-10,0,2,4,21,14
2015-10,0,0,1,7,11
2012-12,0,0,5,8,8
2015-12,2,0,5,9,9
2013-01,0,0,1,10,0
2013-02,0,0,0,8,6
2013-03,0,1,0,5,1
2013-07,0,0,0,4,6
2016-10,0,1,2,7,10
2016-11,0,1,3,3,6
2016-12,0,0,1,8,4
2015-06,0,0,0,2,3
2015-07,0,0,0,6,6
2015-04,0,0,1,4,3
2015-05,0,0,1,3,8
2015-02,1,0,2,2,16
2015-03,0,0,0,2,4
2015-11,2,0,0,3,8
2015-01,0,0,0,5,17
2014-12,0,0,1,6,12
2014-10,0,1,3,4,17
2014-11,0,0,2,0,13
2015-08,0,0,1,6,10
2015-09,0,0,1,2,6
2013-12,0,0,0,4,10
2013-11,0,2,4,11,6
2013-10,0,0,0,4,5
2013-05,0,0,0,1,6
2017-01,0,1,2,2,9
2016-07,0,0,3,9,8
2016-06,0,0,1,2,8
2016-05,1,0,0,6,7
2016-04,0,0,1,3,5
2016-03,0,0,1,9,9
2016-02,0,0,4,4,9
2016-01,1,0,0,9,21
2016-09,0,0,0,1,15
2016-08,0,0,1,3,13
