date,star1,star2,star3,star4,star5
2014-09,2,0,2,0,0
2014-08,2,0,0,5,1
2014-05,4,0,0,2,1
2014-04,2,4,0,0,0
2014-07,2,0,2,1,0
2014-06,4,1,0,2,0
2014-01,0,0,1,1,0
2014-03,0,0,1,1,0
2014-02,3,0,0,2,0
2013-08,4,1,2,2,0
2013-09,2,0,1,0,0
2015-11,2,0,0,2,0
2015-10,2,0,1,0,0
2013-07,3,2,0,1,0
2016-10,0,0,0,1,1
2016-11,4,3,1,0,0
2016-12,5,0,3,1,2
2015-06,0,0,1,0,0
2015-07,0,0,2,0,0
2015-04,0,2,7,3,1
2015-05,8,0,4,0,0
2015-02,5,0,3,3,0
2015-03,1,0,2,2,1
2015-01,0,0,0,0,1
2014-10,4,4,5,4,0
2014-11,1,1,0,1,0
2015-08,0,2,0,1,0
2015-09,1,0,0,0,0
2013-12,4,0,1,0,0
2013-11,2,0,4,3,0
2013-10,2,0,2,0,0
2017-01,1,0,0,2,3
2016-07,2,0,0,0,0
2016-06,1,1,0,1,1
2016-05,1,0,1,0,0
2016-04,4,1,0,3,0
2016-03,1,1,2,3,0
2016-02,2,0,0,0,1
2016-01,1,0,0,0,0
2016-09,5,7,0,0,0
2016-08,0,1,0,0,0
