date,star1,star2,star3,star4,star5
2014-08,0,0,1,0,2
2014-05,0,0,2,0,0
2014-04,2,0,0,0,0
2011-01,0,2,0,0,0
2014-01,1,0,1,2,1
2014-03,1,2,2,0,3
2014-02,0,0,2,2,1
2015-11,0,0,1,2,3
2010-02,0,0,2,0,0
2013-09,0,0,2,0,0
2015-10,0,0,0,1,0
2012-10,0,2,0,0,0
2010-08,0,1,1,0,0
2012-12,0,4,0,2,0
2015-12,2,0,0,3,0
2013-02,0,3,2,2,0
2009-05,0,0,0,1,0
2010-11,2,0,0,0,0
2009-08,0,0,0,2,0
2015-04,0,0,1,0,0
2014-06,0,1,0,0,1
2015-02,0,0,1,0,0
2015-03,2,0,0,0,3
2015-01,0,1,0,1,0
2014-12,0,1,0,0,0
2014-10,1,0,0,0,0
2011-10,0,0,0,3,0
2015-09,0,0,1,0,0
2012-08,0,0,0,2,0
2007-10,0,0,0,2,0
2012-02,1,0,0,1,0
2012-01,2,0,2,0,0
2010-12,0,0,0,4,0
2013-12,0,0,1,0,0
2013-11,0,0,2,0,0
2012-04,0,2,0,0,0
2015-05,0,1,2,0,0
2010-06,0,2,0,0,0
2012-11,0,2,2,0,0
2016-04,1,0,0,0,2
2016-03,1,1,0,0,0
2016-02,0,1,0,0,0
2016-01,1,0,0,2,0
2016-09,2,0,0,1,0
