date,star1,star2,star3,star4,star5
2014-09,18,8,10,16,4
2014-08,13,13,19,13,8
2014-05,19,11,17,15,11
2014-04,6,6,9,12,4
2014-07,20,25,20,26,12
2014-06,5,10,11,13,10
2014-01,17,5,8,19,14
2014-03,7,10,15,10,4
2014-02,11,24,15,15,7
2010-01,8,8,15,17,10
2010-03,1,5,14,10,2
2010-02,0,2,13,9,3
2013-08,9,14,15,14,2
2013-09,10,9,12,10,2
2010-07,0,9,17,11,2
2010-06,4,8,4,13,3
2013-04,15,20,22,16,6
2013-05,6,11,8,13,4
2013-06,7,9,19,34,4
2015-12,8,6,11,16,8
2013-01,11,12,17,12,7
2013-02,3,6,5,10,6
2013-03,5,4,26,8,5
2012-07,12,9,14,13,2
2010-10,1,9,11,9,5
2012-04,3,6,13,11,5
2015-06,12,11,6,11,4
2015-07,20,10,12,14,11
2015-04,9,13,10,13,3
2015-05,3,4,21,17,17
2015-02,6,1,13,12,7
2015-03,13,11,16,16,16
2015-01,11,5,13,6,11
2014-12,11,20,10,16,3
2014-10,12,12,10,14,5
2014-11,8,15,10,10,5
2011-11,3,9,8,14,6
2011-10,11,10,23,14,8
2015-08,7,3,11,11,16
2011-12,7,18,16,19,7
2012-09,2,9,19,10,4
2012-08,7,12,15,9,5
2012-03,6,4,6,10,4
2012-02,5,6,11,6,5
2012-01,6,8,31,41,6
2010-12,2,7,9,18,2
2012-06,4,9,5,9,6
2012-05,8,6,8,13,2
2010-11,3,6,15,15,2
2016-07,11,6,15,12,2
2016-06,11,8,9,11,10
2016-05,9,5,21,17,13
2016-04,11,10,17,15,10
2016-03,11,14,14,8,15
2016-02,5,11,14,7,11
2016-01,3,13,8,20,5
2010-05,6,2,12,10,1
2016-09,4,13,13,7,5
2010-04,0,7,7,9,1
2011-08,19,25,25,25,9
2011-09,5,12,15,22,8
2011-02,8,4,34,17,4
2011-03,3,9,13,17,6
2011-01,5,16,14,12,5
2011-06,6,9,12,23,6
2011-07,5,13,25,11,8
2011-04,9,12,17,18,4
2011-05,4,7,15,17,10
2015-11,8,4,4,1,10
2010-08,5,10,16,25,4
2012-10,13,8,15,14,4
2012-11,4,8,10,3,6
2012-12,8,7,12,9,3
2013-07,10,23,18,31,4
2010-09,5,8,10,17,10
2016-10,8,9,16,10,8
2016-11,8,5,6,3,7
2016-12,5,8,7,6,5
2016-08,10,7,18,9,5
2015-10,3,8,10,18,13
2009-07,1,5,8,11,2
2009-06,1,9,12,5,1
2009-05,0,1,10,5,2
2009-04,3,2,5,8,6
2009-09,3,6,7,6,7
2009-08,3,9,11,17,0
2015-09,10,7,8,7,12
2013-12,6,8,16,14,4
2013-11,5,6,12,11,2
2013-10,9,15,10,14,7
2017-01,3,1,3,1,2
2009-10,3,4,10,13,1
2009-11,0,7,7,7,4
2009-12,0,0,7,7,1
