date,star1,star2,star3,star4,star5
2014-09,0,4,3,8,6
2014-08,0,5,5,11,6
2014-05,2,8,10,13,11
2014-04,6,7,5,11,4
2014-07,3,3,5,8,6
2014-06,2,3,5,6,6
2014-01,0,0,0,4,6
2014-03,2,3,9,4,7
2014-02,2,0,10,9,8
2015-11,1,2,2,12,7
2015-10,1,1,2,5,9
2015-12,1,1,4,3,8
2016-10,2,4,4,0,7
2016-11,0,0,6,7,9
2016-12,2,0,5,7,9
2015-06,4,0,5,10,8
2015-07,4,3,4,5,7
2015-04,3,3,2,7,5
2015-05,2,0,1,3,9
2015-02,0,1,3,4,5
2015-03,6,5,8,6,7
2015-01,2,4,3,15,6
2014-12,2,4,1,5,8
2014-10,0,1,3,7,0
2014-11,0,3,4,3,8
2015-08,1,1,3,8,11
2015-09,1,1,4,4,4
2017-01,1,2,2,7,7
2016-07,2,2,1,3,14
2016-06,0,0,4,8,11
2016-05,0,0,1,3,5
2016-04,1,3,2,8,11
2016-03,0,2,4,6,10
2016-02,1,2,0,4,6
2016-01,0,2,1,4,4
2016-09,1,0,1,3,11
2016-08,1,2,1,10,6
