date,star1,star2,star3,star4,star5
2014-09,0,1,3,1,5
2014-08,0,2,1,13,18
2014-05,0,6,7,13,24
2014-04,0,2,2,11,9
2014-07,0,0,1,3,9
2014-06,1,1,1,3,8
2014-01,2,2,0,2,9
2014-03,1,2,3,1,11
2014-02,1,1,2,4,5
2013-08,0,0,0,2,5
2013-09,4,0,0,2,9
2015-11,6,2,1,2,13
2015-10,4,0,0,4,49
2015-12,1,2,2,2,13
2016-10,0,3,0,1,3
2016-11,0,0,0,2,3
2016-12,0,0,0,1,9
2015-06,1,1,2,5,10
2015-07,1,1,1,2,12
2015-04,0,1,1,0,10
2015-05,0,1,1,2,6
2015-02,2,1,2,6,11
2015-03,0,4,6,5,23
2015-01,1,2,0,5,8
2014-12,0,0,0,3,6
2014-10,0,2,0,2,9
2014-11,0,0,0,9,36
2015-08,0,3,1,1,12
2015-09,0,3,3,11,27
2013-12,0,2,1,3,7
2013-11,1,1,3,4,9
2013-10,1,1,1,9,9
2017-01,0,0,0,0,11
2016-07,3,2,0,2,12
2016-06,0,0,1,3,13
2016-05,1,0,0,1,6
2016-04,0,1,1,1,8
2016-03,1,0,3,4,6
2016-02,2,5,1,3,3
2016-01,4,2,4,9,41
2016-09,0,0,1,3,6
2016-08,3,0,2,6,42
