date,star1,star2,star3,star4,star5
2011-08,0,0,2,0,0
2014-09,0,0,0,0,1
2014-08,0,1,0,2,0
2014-05,0,0,0,3,2
2014-04,0,0,0,1,0
2014-07,0,1,0,0,0
2011-01,0,0,0,2,0
2014-01,1,0,0,0,0
2011-04,0,0,0,0,2
2014-02,0,0,0,2,0
2010-01,0,0,0,0,2
2012-10,2,1,0,0,0
2013-08,0,1,0,0,0
2015-11,0,0,1,0,0
2013-06,0,1,0,0,0
2013-07,0,1,0,0,2
2013-01,0,0,1,0,2
2013-03,0,0,0,1,0
2012-06,1,2,2,2,1
2009-07,0,0,0,2,0
2015-06,1,0,0,2,0
2015-07,1,0,1,0,1
2015-05,0,0,0,0,1
2014-12,0,2,0,0,0
2014-10,1,0,2,2,3
2014-11,0,0,0,0,1
2015-09,1,0,0,0,0
2012-08,2,0,0,0,0
2012-03,0,0,0,0,1
2013-12,0,0,0,0,1
2014-06,0,0,1,0,0
2017-01,1,0,0,3,0
2008-10,0,0,0,3,0
2016-05,0,2,0,3,1
2016-04,1,0,0,0,0
2016-03,0,0,0,0,2
2016-09,0,0,0,1,3
2016-08,2,0,1,4,4
