date,star1,star2,star3,star4,star5
2011-08,0,0,2,0,3
2011-09,0,0,0,2,7
2014-09,0,0,1,0,6
2014-08,1,0,2,3,10
2014-05,0,0,0,1,3
2014-04,0,1,0,0,0
2014-07,2,0,2,0,8
2014-06,1,0,0,0,1
2011-06,0,0,0,0,2
2011-07,0,0,0,1,0
2014-03,0,0,4,3,2
2014-02,0,0,0,0,13
2012-10,1,1,0,1,0
2013-08,0,0,0,0,6
2013-09,0,0,2,2,6
2013-05,0,0,0,3,1
2015-11,0,0,0,0,1
2015-10,0,0,1,0,1
2013-06,0,0,2,0,4
2015-12,0,0,0,0,5
2012-12,0,0,0,0,2
2013-02,0,0,2,3,3
2013-03,0,0,0,0,2
2013-07,0,2,0,0,4
2012-06,0,0,0,0,2
2016-10,0,0,0,0,4
2013-11,2,0,0,2,8
2016-12,0,0,0,0,1
2011-05,0,0,0,4,0
2012-04,0,0,0,0,2
2016-11,0,0,1,0,0
2015-06,0,1,0,3,5
2015-07,0,0,0,0,1
2015-04,1,1,0,1,3
2015-05,2,0,0,2,2
2015-02,1,0,0,1,2
2015-03,2,0,2,0,9
2015-01,0,0,0,0,1
2014-12,0,0,0,1,1
2014-01,0,0,0,4,10
2014-10,0,0,0,2,2
2011-11,0,1,0,0,0
2011-10,0,0,0,2,2
2011-12,0,0,0,0,6
2012-09,1,0,0,0,0
2012-08,0,0,1,0,1
2012-03,0,0,0,0,1
2012-01,0,1,0,0,0
2015-09,0,3,4,0,4
2012-07,0,0,0,0,2
2013-12,0,0,0,0,11
2012-05,0,0,0,0,2
2013-10,0,0,0,0,4
2012-11,0,0,0,0,2
2016-07,1,1,0,0,1
2016-06,2,0,6,0,6
2016-05,1,0,0,0,0
2016-04,1,0,0,1,0
2016-03,2,4,2,0,1
2016-02,2,4,0,2,0
2016-01,0,2,2,1,2
2016-09,0,0,0,0,1
2016-08,0,0,0,4,2
