date,star1,star2,star3,star4,star5
2011-09,0,0,0,2,0
2014-08,2,0,0,3,1
2014-05,2,2,0,0,0
2014-07,3,0,0,0,0
2010-07,0,0,0,2,0
2015-11,0,0,0,0,3
2012-11,1,0,0,0,0
2012-12,0,0,2,0,0
2013-07,0,0,0,1,0
2013-03,0,0,0,2,0
2008-02,0,0,0,0,2
2008-03,0,0,2,0,0
2013-12,0,0,0,1,0
2015-07,1,0,3,0,0
2015-03,2,0,0,0,0
2014-10,2,0,0,1,1
2014-11,0,4,0,1,0
2015-08,0,3,0,0,0
2012-09,0,0,0,2,0
2012-08,1,0,0,0,0
2012-02,0,0,0,2,0
2012-01,0,0,2,0,0
2012-07,0,2,0,0,0
2012-06,0,0,0,0,2
2010-11,2,0,0,0,0
2016-07,0,0,2,2,2
2016-04,2,0,0,0,2
2016-08,2,2,0,0,2
