date,star1,star2,star3,star4,star5
2014-08,0,2,0,0,2
2011-02,2,0,0,0,0
2014-04,2,0,0,0,3
2011-01,2,0,0,0,0
2014-01,0,2,0,0,4
2014-03,2,0,2,0,0
2010-01,0,0,0,0,4
2012-10,0,0,0,0,2
2010-02,0,0,0,0,4
2013-08,0,0,0,0,2
2013-09,0,0,0,1,0
2010-06,0,0,0,0,2
2010-09,0,0,0,0,2
2015-10,6,0,0,0,0
2008-07,0,0,0,2,0
2013-07,0,0,0,0,2
2015-12,1,0,0,0,0
2013-04,0,0,2,0,4
2010-12,0,0,0,0,1
2013-12,0,0,0,0,2
2009-05,0,0,0,2,0
2009-01,0,0,0,0,2
2009-08,0,0,0,0,2
2015-05,0,0,0,2,8
2015-11,2,2,0,0,1
2015-01,1,0,0,0,0
2011-06,0,0,0,0,2
2014-10,0,2,0,0,0
2014-11,0,0,0,0,2
2011-11,0,0,0,0,2
2012-09,0,0,0,0,3
2012-02,0,0,0,0,2
2012-01,1,0,0,0,0
2012-07,1,0,0,0,1
2012-06,1,0,0,0,0
2013-05,2,0,0,0,0
2016-06,3,0,0,0,1
2016-05,0,0,0,0,4
2016-02,0,0,0,0,2
2016-01,1,0,0,0,0
