date,star1,star2,star3,star4,star5
2011-08,0,0,0,4,0
2014-09,2,0,2,0,3
2014-08,2,0,0,0,0
2014-05,0,0,0,2,0
2014-04,0,2,2,0,0
2014-07,5,2,4,0,0
2011-01,0,0,2,0,0
2011-04,2,0,0,0,0
2011-05,0,2,0,0,0
2013-04,0,2,3,0,0
2013-08,1,0,0,2,0
2013-09,1,0,0,1,1
2015-10,0,2,0,1,1
2015-11,1,4,0,0,0
2013-05,0,0,0,0,1
2015-12,4,0,0,0,0
2013-01,0,2,0,0,0
2013-07,0,0,0,1,0
2007-03,0,0,2,0,0
2011-02,0,0,0,0,1
2016-10,2,0,0,0,0
2012-05,0,2,0,0,0
2016-12,5,1,1,0,0
2015-06,5,0,0,3,1
2015-07,7,0,2,1,0
2015-04,2,0,0,0,0
2015-05,0,0,0,1,0
2015-02,3,2,2,0,1
2015-03,0,2,0,0,0
2015-01,2,2,4,0,2
2014-12,0,4,2,0,0
2014-10,1,2,4,2,0
2014-11,0,2,0,0,0
2011-10,0,0,0,4,0
2015-08,6,1,0,0,0
2011-12,0,0,2,2,0
2012-09,0,0,0,2,0
2012-08,0,2,2,0,0
2012-03,0,0,2,0,0
2015-09,2,0,0,0,0
2012-07,0,0,0,1,0
2013-12,1,0,0,0,0
2013-11,0,0,0,4,0
2014-06,0,0,0,2,0
2012-11,0,2,0,0,1
2017-01,0,0,2,0,0
2016-07,4,0,0,0,1
2016-06,2,2,0,0,0
2016-05,0,0,0,2,0
2016-02,2,2,2,2,0
2016-01,7,0,2,0,3
2016-09,5,1,0,1,1
2016-08,9,0,1,0,0
