words,count
milk,40
friendly,12
town,11
vegas,7
teas,6
try,18
quick,7
tea,66
nthe,12
drinks,21
condensed,6
jasmine,9
lychee,6
usually,6
love,8
flavors,8
balls,8
honey,7
tried,11
mango,12
green,6
perfect,6
coffee,7
toppings,6
didn,8
ball,6
little,9
pudding,8
quality,7
service,17
boba,96
thai,15
snow,28
price,7
don,13
clean,9
selection,8
staff,11
texture,6
pretty,7
fluff,8
fluffy,19
close,11
flavor,13
probably,6
jelly,17
sweet,8
life,16
prices,6
drink,22
fruit,12
taro,11
easy,16
bit,9
piece,8
ice,20
nmy,6
favorite,10
lot,6
strawberry,11
taste,9
nice,9
fresh,7
time,11
