words,count
nwe,6
asian,6
enjoy,6
pizza,6
wasn,9
service,20
top,7
dogs,35
seated,7
don,15
dog,56
menu,20
lodge,12
rice,6
bar,6
amazing,7
night,8
people,12
dinner,9
happy,7
inside,6
check,6
nthis,6
chicken,25
drinks,9
water,7
wait,10
love,12
appetizers,6
didn,11
cheese,6
little,6
dining,7
comes,7
pot,6
flavor,6
server,6
served,9
meal,6
time,33
dish,9
burger,7
hour,7
sandwich,8
tried,6
patio,23
sauce,14
food,48
fish,7
pretty,6
restaurant,25
sweet,8
couple,6
servers,6
fries,18
nice,15
friendly,16
outside,8
try,14
waiting,6
salad,7
special,6
times,10
waitress,13
lot,6
dishes,6
bring,7
staff,10
overall,6
lazy,15
table,7
drink,6
eat,9
minutes,10
pie,6
