words,count
bomb,11
friendly,13
town,6
vegas,7
quick,6
pork,8
chef,34
nthe,13
poke,6
experience,12
love,12
flavors,6
geisha,8
sake,27
recommend,9
excellent,8
hour,11
awesome,12
times,7
amazing,21
tried,8
green,6
course,7
perfect,6
sauce,13
food,26
meat,8
house,13
fish,9
try,8
rolls,9
teppanyaki,12
bass,8
free,8
feel,8
delicious,16
owner,7
little,9
service,19
top,10
friend,7
hibachi,7
shrimp,6
salmon,8
don,6
definitely,14
atmosphere,6
staff,22
menu,19
rice,9
bar,10
bombs,9
steak,9
sea,8
uuu,10
restaurant,16
comes,6
beef,6
prices,7
items,6
fun,9
sushi,57
hong,13
tuna,7
smoked,9
favorite,13
dinner,8
mochi,7
happy,6
fried,9
taste,9
girlfriend,7
ellen,7
roll,19
nice,8
friends,13
kanji,40
cooked,7
time,20
fresh,10
