words,count
nwe,11
worth,23
enjoy,29
street,9
nthe,39
told,13
fantastic,6
explained,8
highly,8
music,13
recommend,14
type,9
tell,18
phone,11
excellent,6
bartender,59
vodka,8
amazing,32
las,14
enter,6
wine,7
saturday,7
little,39
loud,8
wasn,8
service,10
top,9
mind,10
talking,9
preferences,6
don,41
definitely,25
menu,38
bar,100
liquor,8
decided,9
beer,8
lovely,9
life,6
relaxing,6
craft,15
chill,6
nif,8
nit,8
left,7
thanks,6
easy,9
unique,13
night,48
people,28
super,9
gin,6
happy,7
true,6
inside,25
classic,9
trip,13
picture,7
surprise,7
nthis,10
time,57
vegas,47
drinks,104
water,7
wait,14
love,21
visit,11
entrance,11
club,8
downtown,14
awesome,10
heard,8
laundry,76
cocktail,29
spot,13
birthday,11
date,10
maybe,8
talk,10
exclusive,9
name,11
didn,10
space,7
looking,14
seriously,7
friend,10
boyfriend,9
sat,8
especially,6
cortez,6
speakeasy,42
outside,6
truly,7
gem,11
husband,6
cocktails,38
whiskey,9
review,6
quiet,10
comes,8
hidden,31
taking,6
sazerac,7
check,10
week,7
knowledgeable,8
world,6
seating,10
business,8
intimate,25
favorite,14
mixed,6
strip,9
trying,6
taste,10
wife,11
fan,6
list,13
strong,13
experience,36
via,7
takes,6
door,31
town,13
escorted,7
history,7
tried,8
coming,9
telling,6
actually,8
cool,17
house,7
idea,6
friday,7
feel,17
wonderful,11
nights,6
lit,6
extremely,8
pretty,9
bars,13
set,6
cozy,6
pictures,9
please,10
attention,7
sweet,6
secret,46
look,10
hostess,16
fun,16
decor,13
rules,25
delicious,18
arrived,6
entry,7
mixologist,30
couple,11
fremont,12
bit,15
booklet,6
nyou,8
line,6
nice,13
reservation,49
texted,10
walked,8
friendly,14
drinking,7
entire,6
try,15
led,7
popcorn,24
makes,10
started,6
sit,10
vibe,10
establishment,6
classy,7
bartenders,9
perfect,13
lounge,9
dan,20
day,7
commonwealth,58
ambiance,10
special,11
times,6
conversation,13
loved,10
able,9
atmosphere,11
cute,8
text,45
staff,6
based,6
piano,22
hope,6
stuff,6
invited,6
wall,9
table,9
party,12
drink,71
seats,11
drunk,10
speak,6
bathroom,10
host,8
getting,14
hand,8
minutes,6
reservations,28
june,6
friends,28
