words,count
nwe,7
nthe,12
wine,13
bread,9
bone,7
delicious,6
wasn,8
service,16
gravy,8
don,6
definitely,6
menu,14
appetizer,7
poutine,17
bar,16
grilled,6
decided,6
beer,41
dinner,7
time,20
vegas,17
drinks,7
french,10
beers,7
lunch,10
didn,14
octopus,7
waiter,7
cheese,10
little,13
price,10
seafood,7
lobster,8
tasty,8
list,6
burger,13
public,19
experience,7
egg,7
food,27
house,23
pub,6
pretty,10
restaurants,6
meal,6
restaurant,17
wings,7
fries,13
fried,6
nice,6
try,7
salad,6
lamb,6
marrow,11
atmosphere,6
selection,10
chicken,14
table,6
bit,7
party,6
gastropub,7
venetian,15
