words,count
canes,24
worth,8
nthe,22
cane,48
tenders,7
hot,11
las,11
bread,12
meal,12
strips,24
greasy,7
thick,6
service,12
serve,6
don,14
definitely,11
fingers,70
toast,62
menu,8
stop,10
dipping,15
finger,6
com,7
employees,6
www,7
tell,6
drive,18
nthis,9
time,27
chain,6
vegas,45
quick,8
dip,8
box,15
love,37
extra,12
thru,10
whenever,8
amazing,16
texas,37
didn,6
looking,6
california,7
little,12
bite,6
slaw,10
snack,7
review,8
comes,10
trip,8
totally,7
strip,10
fast,21
stars,9
taste,15
tasty,7
tea,41
sauce,84
food,37
delicious,10
coleslaw,27
juicy,12
moist,8
clean,12
pretty,9
tender,9
please,6
restaurant,7
simple,8
crispy,16
location,6
eating,8
raising,34
fries,54
fried,12
doesn,6
crinkle,8
fresh,10
friendly,12
try,10
pieces,8
perfect,7
day,8
special,8
lot,7
caniac,14
bring,6
chicken,135
staff,6
combo,21
joint,7
http,6
drink,17
sweet,39
soft,6
home,13
own,7
secret,6
eat,20
piece,6
star,9
yelp,12
