words,count
nwe,23
sleep,19
stinks,6
remodeled,8
sorry,15
worth,17
updated,8
risk,11
tickets,14
clothes,6
enjoy,7
tired,8
nthe,74
machines,8
lights,7
told,137
luggage,10
employees,9
changed,8
credit,21
smoke,30
nwhen,14
explained,7
brought,6
guests,20
total,10
unit,7
spoke,9
negative,12
call,51
recommend,18
type,9
tell,25
aware,7
phone,23
hole,6
hold,12
outdated,19
locked,8
bellman,6
times,39
returned,13
travel,6
machine,6
hot,20
gamble,10
wrong,16
lot,27
las,25
office,7
fix,10
safe,15
break,7
yourself,12
dingy,7
mean,15
list,6
motel,19
free,45
standard,8
checked,50
ate,6
days,33
isn,16
arrived,19
loud,14
floors,12
wasn,38
renovated,13
service,87
top,21
girls,12
elevator,17
rates,6
curtains,7
zero,11
shower,34
matter,13
street,15
friend,17
mind,14
mine,8
talking,12
seen,19
mins,7
tells,6
luxury,20
doors,12
don,88
dog,14
definitely,7
saying,14
explain,6
lady,23
watch,6
report,14
nasty,11
bar,6
nonsmoking,9
twice,6
bad,53
decided,22
smelled,27
wtf,6
received,13
fault,6
com,9
groupon,10
towels,11
priceline,8
speak,25
conference,21
bathroom,38
expected,6
website,14
life,8
sad,14
air,20
weren,10
mistake,13
stop,6
confirmed,7
nin,7
nif,12
hand,14
nit,7
kept,12
monaco,7
left,43
thanks,6
yes,12
previous,7
save,7
night,127
security,60
towards,6
deal,33
people,89
dead,6
booking,10
paid,28
super,6
dollars,7
months,13
dinner,6
plus,14
bath,7
lied,8
stuck,6
happy,8
head,14
offer,13
heat,6
hear,10
true,8
inside,12
classic,14
request,6
tournament,10
promised,6
mold,11
check,138
shit,8
floor,53
tip,6
smell,27
update,6
weekend,11
nthis,17
beds,40
time,121
serious,6
managed,7
manager,94
disgusting,18
finally,30
vegas,122
minute,11
cool,8
leave,21
guy,24
talked,10
sign,15
cost,13
drinks,6
goes,13
filled,7
clerk,17
water,25
slow,11
address,7
change,26
wait,30
box,6
usually,6
carpets,6
stained,15
extra,33
hotels,47
angry,6
visit,8
live,6
thru,7
club,6
car,23
cat,6
reviews,10
cab,9
bites,11
crazy,7
agent,6
heard,14
staying,39
cocktail,7
spot,9
mad,7
suck,6
filthy,20
renovation,6
remember,8
