words,count
nwe,14
sleep,11
paris,14
updated,9
nthe,39
told,30
kids,9
smoke,10
nwhen,7
call,12
recommend,6
phone,6
travel,6
hot,6
las,11
worst,6
little,10
free,12
days,10
arrived,10
wasn,14
renovated,7
service,33
top,8
elevator,9
gym,9
shower,26
don,39
definitely,16
bar,7
bad,14
decided,9
smelled,8
bathroom,16
air,7
near,6
left,10
indigo,9
yes,6
night,49
deal,6
people,36
paid,12
plus,6
stuck,6
head,6
offer,7
hear,7
inside,6
tell,9
floor,28
smell,11
weekend,8
beds,9
time,38
manager,9
vegas,50
hour,6
leave,10
sign,7
water,25
slow,6
extra,13
hotels,18
car,7
spa,6
staying,18
looking,13
internet,14
card,9
care,8
couldn,8
checked,19
convention,6
friend,6
nicer,7
price,12
sheets,6
shop,6
cheap,14
upgrade,14
outside,9
tub,8
offered,6
coffee,11
middle,9
pay,23
trip,6
noverall,6
real,6
fridge,11
tower,36
gross,6
business,10
mean,7
strip,46
lot,12
trying,6
dirty,18
money,12
comped,7
pillows,6
pool,21
building,6
booked,7
wifi,16
carpet,19
rate,6
hours,8
experience,10
charge,12
amenities,8
diamond,7
door,14
none,10
huge,6
stayed,36
tried,12
coming,7
help,6
stains,10
actually,12
late,8
resort,24
food,24
complain,6
found,14
hard,6
reason,10
feel,12
feet,6
fees,12
guess,8
hotel,94
nights,10
check,42
clean,19
pretty,16
restaurants,6
close,6
won,7
probably,17
available,6
upgraded,6
finally,6
else,10
look,7
budget,7
fun,7
keys,11
lower,7
spent,9
person,9
spend,6
lady,11
location,30
couple,6
bit,12
bellagio,9
run,8
housekeeping,8
line,13
called,12
nice,30
reservation,6
age,7
walked,9
suite,14
friendly,6
entire,6
uncomfortable,6
valet,8
access,6
casino,33
fee,19
customer,8
bally,61
getting,8
located,6
instead,10
wallpaper,7
move,6
front,37
day,37
times,11
south,9
management,7
stars,12
bed,31
comfortable,12
connected,7
looked,11
anyway,7
staff,15
hope,7
view,10
closed,6
key,6
etc,6
wall,6
walk,13
table,9
decent,13
smoking,14
drink,7
lobby,9
checking,7
desk,35
didn,31
elevators,7
noise,6
additional,7
ballys,12
north,17
placed,6
minutes,11
girl,7
book,9
star,7
stay,47
