words,count
tickets,14
venue,26
nthe,16
orchestra,6
fantastic,10
las,14
deco,7
little,9
free,7
service,6
top,6
seated,7
seen,6
doors,6
don,15
bar,7
bad,9
architecture,6
left,8
easy,6
night,13
people,16
offer,6
inside,7
time,19
row,10
finally,7
vegas,24
upper,6
drinks,10
wait,8
love,9
parking,21
visit,6
wicked,6
downtown,14
didn,9
city,6
season,13
theatre,6
mormon,12
jazz,10
seat,15
broadway,11
arts,8
sound,17
theater,20
seating,11
intermission,6
building,15
sitting,7
ticket,7
design,6
experience,9
beautiful,20
food,8
house,8
park,7
access,6
pretty,8
bars,8
art,8
seats,37
look,14
grand,7
arrived,7
cabaret,8
bit,7
forward,9
definitely,7
nice,12
makes,6
stage,9
awesome,6
reynolds,7
front,8
quality,11
lot,16
comfortable,7
able,8
staff,9
view,10
walk,7
lobby,11
center,54
smith,40
hall,14
book,12
getting,6
balcony,16
jewel,6
