words,count
nwe,19
worth,7
enjoy,7
japanese,22
chef,31
nthe,38
items,16
fantastic,14
slices,7
music,8
recommend,12
excellent,14
honey,8
amazing,68
salsa,10
las,15
oysters,126
hidden,13
combination,10
meat,6
meal,21
list,8
waffle,33
ate,10
delicious,51
wasn,12
service,48
top,26
mind,6
ginger,9
raw,22
mint,9
hollandaise,20
blue,13
regular,8
mouth,8
don,22
definitely,40
bomb,6
enjoyed,13
toast,28
rice,54
bar,42
dipping,9
bay,6
grilled,16
steak,30
decided,7
kitchen,14
uni,16
beef,8
beer,8
life,8
craft,10
sushi,18
belly,27
kim,17
tuna,28
ocean,8
unique,17
board,8
night,26
people,6
ice,15
creative,10
super,23
octopus,20
soy,6
happy,19
inside,15
check,12
topped,9
roll,8
potato,14
daily,9
time,48
yummy,6
finally,9
choice,7
vegas,41
bartender,7
cool,7
die,6
specials,18
pork,27
drinks,32
mussels,8
french,24
wait,13
usually,6
love,25
flavors,11
visit,19
creamy,7
ceviche,25
awesome,20
dinner,16
cocktail,25
spot,16
date,7
guys,8
remember,6
maybe,7
shishito,7
cute,8
course,10
hot,18
half,7
name,7
didn,16
looking,16
tempura,6
care,7
star,9
little,35
bite,12
tell,10
white,10
friend,8
boyfriend,8
sat,10
dining,7
cheesecake,12
especially,7
seafood,35
calamari,11
texture,8
truly,8
gem,16
prime,11
husband,6
cocktails,34
review,8
comes,7
pot,15
ribeye,11
evening,7
favorites,11
flavor,20
sampler,6
server,18
served,20
pickled,6
nigiri,12
nmy,8
island,6
favorite,28
shrimp,19
mixed,7
strip,34
meals,6
lot,6
spicy,26
trying,8
taste,18
tasty,13
cream,14
cove,6
wife,8
dish,40
sashimi,22
jalape,8
fan,7
krohmer,6
experience,18
pick,6
eye,10
glad,8
town,10
hour,15
mall,7
tried,23
deviled,11
egg,18
soon,14
actually,9
late,6
sauce,45
food,99
wasabi,9
easily,7
found,8
house,13
fish,33
hard,9
miso,21
feel,10
wonderful,9
mama,51
outstanding,8
eggs,13
salmon,17
tartare,18
oyster,19
rockefeller,12
clean,7
pretty,14
restaurants,16
tender,8
locals,7
wow,11
probably,6
attention,6
restaurant,43
liked,10
simple,6
sweet,31
crispy,17
peppers,16
else,8
look,6
tip,6
fun,12
dozen,7
person,8
cut,6
couple,8
bit,14
wings,17
helpful,7
sorbet,6
sauces,26
eating,7
tasting,15
forward,6
fries,39
fried,60
single,6
nspicy,7
lemon,8
nice,30
desert,6
cooked,12
fresh,67
salt,6
friendly,13
dessert,10
try,40
poke,11
chefs,6
yuzu,12
nservice,6
menu,68
makes,8
chi,12
crab,19
started,8
pieces,7
sit,6
vibe,9
located,6
light,11
bunch,6
perfect,24
choose,7
orange,7
dan,16
day,10
doing,7
variety,7
special,14
organic,8
times,7
owner,8
quality,23
ponzu,17
perfectly,11
shell,6
stars,10
haven,7
loved,26
dishes,27
able,7
amberjack,25
atmosphere,13
selection,13
chicken,24
staff,11
combo,6
local,8
perfection,7
chips,14
gras,6
kimchi,23
crudo,19
habanero,10
table,13
seasoned,6
finished,7
foie,9
drink,14
incredible,6
english,11
hush,12
home,8
fanny,6
pepper,6
rare,6
puppies,12
own,7
caviar,26
eat,19
wish,7
carpaccio,17
incredibly,7
priced,7
friends,12
yelp,10
