words,count
nwe,16
worth,7
red,7
enjoy,10
bacon,6
nthe,29
items,7
leaves,6
fantastic,10
highly,9
music,21
recommend,13
tell,6
excellent,14
vodka,11
foods,11
confit,7
hot,13
wine,22
bread,43
meat,7
potatoes,6
filling,7
reasonable,8
quality,6
forte,35
delicious,41
wasn,11
service,28
top,10
ginger,16
recommended,6
definitely,18
enjoyed,8
menu,25
rice,16
plate,11
thracian,16
bar,10
bad,6
lemonade,8
goulash,8
beef,24
beer,8
lovely,6
eastern,12
dumplings,19
plates,7
european,24
left,8
able,6
family,11
unique,10
people,9
night,19
super,6
dinner,8
octopus,7
happy,8
inside,7
drive,11
check,7
topped,6
time,33
grape,6
finally,6
vegas,30
cool,13
drinks,21
wait,11
love,26
flavors,10
angry,6
visit,9
live,12
olive,18
soup,13
sour,6
awesome,18
spot,8
date,6
tapas,20
cold,6
amazing,32
looking,8
cheese,22
spanish,13
little,10
stuffed,23
friend,8
dining,7
hungarian,10
husband,8
cocktails,7
dives,8
review,7
diners,7
dates,10
pot,29
boat,12
sauce,11
oil,20
flavor,10
world,6
server,13
served,21
table,14
adjarski,8
stroganoff,21
favorite,14
mixed,22
strip,20
lot,10
trying,7
spice,12
ragu,8
taste,10
tasty,18
wife,7
dish,31
experience,14
bulgarian,41
town,8
grill,15
tried,17
pelmeni,9
egg,17
style,9
food,87
found,9
house,11
feel,7
wonderful,10
pretty,8
hit,6
restaurants,6
wow,9
meal,9
restaurant,28
sweet,6
gypsy,6
peppers,8
prices,9
look,10
bill,6
fun,13
infused,9
tables,9
clay,26
forward,7
russian,11
don,11
fries,10
called,7
dill,8
nice,16
cooked,7
fresh,21
friendly,15
dessert,10
try,36
spices,9
salad,17
onions,6
lamb,19
vibe,6
feta,11
perfect,12
times,11
waitress,9
owner,6
loved,9
dishes,15
mix,8
refreshing,6
looked,6
atmosphere,23
selection,6
bring,6
chicken,10
staff,7
khachapurri,13
wall,6
squid,6
drink,13
home,12
biscuit,11
own,10
eat,14
cake,11
ins,6
incredible,6
special,6
star,6
priced,6
friends,18
