words,count
nwe,15
paris,6
worth,14
almond,19
bacon,7
nthe,29
items,8
fantastic,7
type,6
excellent,7
times,6
amazing,9
las,6
croissant,27
coffee,52
bread,12
meal,12
fixe,12
ate,8
wasn,12
service,23
danish,6
hazelnut,12
palace,23
flavorful,7
regular,6
don,16
prix,9
toast,7
sugar,6
plate,7
bad,8
pre,7
nif,7
nit,10
yes,6
deal,8
dinner,10
happy,6
inside,13
trip,8
time,28
yummy,12
vegas,39
quick,11
filled,7
bacchanal,6
french,19
wait,8
box,6
love,20
flavors,6
visit,10
creamy,8
chocolate,50
spot,11
crepe,16
macaron,6
main,6
nof,8
lunch,26
half,6
didn,23
payard,47
looking,6
couldn,6
cheese,16
little,26
bite,7
friend,9
pastry,19
breakfast,50
dining,6
price,14
buffet,11
shop,10
moons,6
morning,9
review,7
outside,6
pay,7
macarons,29
check,7
flavor,14
dark,6
server,7
nice,19
lobster,14
nbut,6
strip,7
desert,7
stars,10
taste,11
tasty,14
cream,11
louvre,6
experience,6
amount,6
sandwich,16
tried,11
coming,8
egg,11
mousse,13
caesars,12
actually,6
sauce,14
food,37
starbucks,7
found,6
delicious,28
hard,9
bistro,20
bass,7
cookie,7
feel,6
benedict,19
hotel,8
croque,10
decadent,9
caesar,19
sandwiches,10
eggs,21
pretty,16
sea,6
nutella,7
probably,6
restaurant,24
sweet,16
crispy,7
expensive,6
else,7
pricey,8
prices,7
look,8
couple,7
bit,15
buttery,6
crepes,18
cafe,13
lemon,6
definitely,16
tart,6
fresh,16
desserts,16
dessert,27
try,24
nservice,6
casino,8
menu,25
makes,11
rich,11
started,7
salad,17
sit,10
located,11
instead,6
stop,6
light,11
counter,18
bakery,11
perfect,13
day,15
macaroons,7
quality,9
perfectly,9
lot,10
quiche,9
waffles,6
looked,9
selection,6
chicken,8
course,12
stuff,7
grab,8
nthere,6
walk,11
brunch,15
vanilla,9
home,8
flaky,11
pastries,35
eat,13
cake,14
minutes,6
friends,8
gelato,14
patisserie,12
portion,6
baked,7
