words,count
nwe,8
tickets,9
venue,72
enjoy,6
nthe,22
smoke,6
music,37
honey,9
amazing,25
pizza,9
las,10
band,21
bread,8
meat,6
little,12
free,11
delicious,7
wasn,6
service,10
top,11
listen,6
mind,6
blue,10
plenty,8
don,25
definitely,21
menu,7
watch,6
bar,27
greens,12
lots,6
collard,8
beer,7
couple,7
left,6
bands,12
performing,6
night,26
security,6
crowd,12
people,14
super,16
dinner,16
happy,8
inside,12
check,14
floor,22
nthis,6
time,34
vegas,36
cool,19
couches,6
level,6
drinks,20
shared,6
french,9
wait,12
love,23
visit,9
live,21
beers,9
awesome,30
spot,13
hot,13
didn,10
concerts,14
space,10
cheese,8
hang,6
city,6
alley,16
concert,38
review,8
outside,10
comes,10
venues,10
lanes,18
attentive,7
sauce,8
bowl,68
server,13
intimate,7
favorite,8
mixed,6
strip,20
trying,8
tasty,7
original,7
sound,11
ticket,7
ribbon,10
experience,17
screens,6
vip,6
hour,7
huge,16
lighting,6
coming,6
playing,9
patio,7
roots,10
actually,11
food,36
house,9
feel,9
play,8
brooklyn,58
plan,7
pretty,25
famous,6
bars,20
set,11
close,9
won,8
probably,11
restaurant,18
simply,6
crispy,9
fun,12
bit,7
wings,8
seeing,6
linq,20
fries,16
fried,51
doesn,6
nice,20
lane,16
friendly,9
try,15
tap,6
salad,6
located,6
instead,6
stop,6
perfect,10
front,7
lot,6
decided,7
atmosphere,12
bring,8
chicken,72
staff,16
local,7
view,12
job,7
table,8
party,6
drink,15
bowling,67
stage,35
own,7
artists,6
eat,15
incredible,7
friends,13
