words,count
tickets,10
enjoy,7
nthe,16
kids,8
wrong,6
expectations,8
disappearing,8
wasn,15
mind,18
talking,8
seen,20
don,17
entertaining,16
freak,6
enjoyed,11
watch,6
bad,14
wtf,6
nif,6
kept,8
night,8
people,17
head,6
hear,7
time,16
row,9
vegas,12
cool,14
guy,7
love,8
live,6
reviews,18
soleil,23
watching,7
maybe,6
pulled,7
amazing,6
half,7
didn,23
looking,8
little,14
angel,48
price,11
paid,7
especially,6
jokes,6
review,7
trick,13
thinking,7
read,7
audience,23
act,7
low,6
lot,12
trying,6
tricks,28
fan,18
acts,11
coming,9
actually,11
found,11
story,6
expecting,12
cirque,58
believe,18
dancing,6
pretty,16
set,6
close,6
probably,9
liked,11
funny,7
obviously,7
person,7
illusions,17
excited,7
bit,12
seeing,6
clips,7
nice,6
magic,38
video,6
day,6
mindfreak,10
times,7
stars,10
overall,6
seats,10
criss,71
stage,17
minutes,7
