words,count
limited,7
vegas,11
nthe,13
chose,7
wait,6
love,7
recommend,8
chip,6
pieces,7
gordon,16
spot,7
light,7
mango,8
shake,9
style,7
orange,6
sauce,14
food,19
delicious,9
fish,64
aioli,8
little,9
perfectly,8
promenade,6
linq,9
don,8
pretty,9
combo,11
toffee,7
batter,12
chips,38
grab,6
lemonade,8
definitely,6
restaurant,17
comes,8
walk,6
crispy,15
vanilla,7
pudding,7
sriracha,8
drink,9
seats,6
tables,6
seating,7
people,8
sauces,20
tartar,9
super,6
shrimp,12
curry,7
strip,8
line,9
eat,7
inside,7
fries,24
fried,10
sticky,7
ramsay,7
cooked,6
fresh,9
