words,count
worth,7
bacon,9
nthe,12
hot,6
las,8
cheese,19
avocado,6
bread,44
meat,13
meal,10
little,7
wasn,17
service,13
hollywood,10
don,27
definitely,10
menu,8
chipotle,7
earl,60
bad,16
decided,7
toasted,9
tuna,12
butter,6
people,16
wrap,15
mediocre,6
potato,10
time,22
chain,7
jerk,8
choice,6
vegas,28
subway,7
quick,9
wait,12
club,9
cashier,11
reviews,13
maybe,8
half,7
didn,11
couldn,6
bite,12
friend,7
tasted,8
price,6
hungry,8
cheap,7
comes,6
turkey,13
pay,9
flavor,9
disappointed,11
nice,6
seating,6
strip,11
lot,7
trying,6
taste,16
original,8
dressing,10
hours,7
vegetarian,7
options,10
sandwich,144
okay,6
tried,9
actually,7
sauce,6
food,28
option,6
sandwiches,47
pretty,9
hype,10
probably,7
prices,6
ready,6
eating,6
nso,7
line,28
planet,11
doesn,7
try,9
wheat,6
soup,9
busy,6
salad,25
tomato,9
counter,7
honestly,6
day,6
special,6
quality,10
stars,14
looked,6
chicken,34
staff,9
eat,15
yelp,9
minutes,6
