words,count
worth,6
school,7
enjoy,7
nthe,32
smoke,15
root,19
times,9
pizza,7
las,6
green,19
satisfied,6
potatoes,18
little,18
free,22
ate,8
isn,10
wasn,16
service,27
seated,8
mashed,6
don,30
definitely,8
toast,11
plate,13
stop,8
bar,23
bad,21
steak,101
decided,9
beer,79
tastes,8
brewed,8
experience,11
left,8
night,29
deal,28
people,27
super,9
dinner,25
happy,6
medium,18
inside,8
trip,6
tip,6
glass,8
time,37
finally,6
choice,9
vegas,39
specials,7
drinks,16
change,6
wait,29
usually,7
love,15
visit,7
barkeep,6
club,7
beers,20
soup,16
ribs,21
awesome,6
dive,8
spot,9
maybe,13
nog,10
half,9
didn,20
looking,8
card,9
oktoberfest,6
wrong,9
waited,6
friend,11
tasted,6
breakfast,9
dining,6
price,21
especially,6
average,7
cheap,43
slow,6
prime,23
parking,6
review,18
comes,12
sauce,9
check,6
noverall,8
money,9
rest,6
server,16
served,6
ellis,43
nmy,6
island,41
meal,34
strip,35
low,8
lot,10
trying,6
potato,17
taste,8
tasty,11
gambling,8
karaoke,34
town,6
hour,8
egg,7
actually,9
late,9
food,61
delicious,6
house,7
expect,10
try,16
brewery,7
reason,6
cups,7
guess,6
play,9
eggs,26
fine,7
pretty,34
hit,8
famous,6
won,7
probably,11
restaurant,19
slots,6
else,9
prices,17
look,8
fun,15
rib,26
person,6
tables,10
cut,6
bit,7
beans,27
nso,7
fries,9
fried,10
cafe,16
nice,10
fresh,6
friendly,8
rack,7
video,7
sing,8
casino,45
menu,12
salad,21
instead,7
stout,6
day,6
special,30
quality,7
stars,17
atmosphere,8
chicken,23
staff,6
overall,8
gone,6
table,10
decent,20
bbq,28
player,6
value,7
drink,17
stage,6
rare,16
beef,6
getting,8
hot,7
eat,17
minutes,11
friends,6
yelp,9
baked,9
