words,count
vet,10
foster,7
friendly,12
kennels,9
guy,6
picked,6
experience,9
adopt,27
adopting,9
love,14
family,10
fee,8
recommend,6
shelters,9
animals,26
cat,22
process,8
amazing,6
animal,48
volunteers,9
thank,7
weeks,7
food,7
day,24
found,9
neutered,8
girl,6
looking,9
foundation,25
little,20
free,7
care,12
owners,6
couldn,6
days,9
adopted,30
breed,6
dogs,50
spayed,8
happy,9
don,14
dog,61
looked,7
clean,12
staff,25
bad,7
shots,8
pets,11
adoption,18
life,12
understand,7
look,10
cats,15
kill,15
mix,7
sick,6
helpful,6
people,16
home,29
pet,19
getting,6
lied,9
lot,7
check,7
shelter,47
ago,12
time,28
