words,count
nwe,9
nthe,8
told,15
guests,6
recommend,6
las,6
worst,6
meat,6
wasn,6
service,27
girls,7
don,15
saying,7
menu,7
bar,34
bad,10
decided,6
country,8
beer,8
left,10
night,20
security,9
people,19
eat,13
check,7
floor,7
time,22
dance,12
manager,8
vegas,18
guy,7
pork,9
drinks,25
wait,9
ribs,6
maybe,6
pulled,8
cold,6
didn,20
looking,6
waited,13
cheese,9
tasted,6
review,6
disappointed,6
server,8
island,6
meal,11
money,8
taste,7
sitting,8
burger,12
rude,8
food,36
terrible,6
feel,6
hotel,6
dancing,8
pretty,6
restaurant,8
else,6
hostess,6
fun,6
tables,9
couple,6
bartender,16
line,9
fries,7
called,6
walked,9
waiting,6
gilley,20
started,6
customer,7
sit,7
strip,10
waitress,12
management,6
looked,10
staff,7
horrible,9
table,15
bbq,9
bull,10
waitresses,6
party,11
drink,11
empty,9
minutes,22
star,6
friends,9
