words,count
asian,7
worth,7
nthe,21
pate,14
warm,6
veggies,7
times,6
hot,11
las,8
banh,64
bread,32
meat,19
crunchy,7
meal,7
delicious,16
service,22
top,8
flavorful,8
plenty,7
don,11
definitely,21
menu,11
rice,19
bad,6
grilled,20
decided,6
noodles,9
huong,7
beef,11
broth,19
people,11
super,6
bahn,10
portions,6
inside,7
drive,6
roll,6
time,27
yummy,6
vegas,24
quick,7
pork,45
french,6
water,8
usually,6
love,11
soup,19
spot,6
maybe,7
thanh,7
little,18
bite,7
boba,7
price,6
cheap,9
unlv,12
coffee,9
bowl,24
flavor,12
served,7
nmy,6
favorite,9
shrimp,8
stars,8
taste,7
tasty,18
chinese,7
dish,7
town,12
mall,6
huge,13
sandwich,35
tried,11
egg,11
food,33
mountain,6
sandwiches,38
clean,10
pretty,20
hit,6
restaurants,8
restaurant,31
prices,6
noodle,14
spring,8
tofu,7
rolls,11
tasting,6
fried,9
nice,23
fresh,17
vietnamese,36
friendly,9
try,13
sausage,8
rare,7
thit,10
located,6
looks,7
perfect,10
strip,11
vons,6
chicken,9
decent,8
pho,107
day,6
soft,6
own,7
bun,6
eat,8
