words,count
dish,12
worth,6
dessert,7
vegas,36
nwe,12
try,18
prosciutto,9
thin,8
nthe,11
cheeses,6
crust,7
enjoyed,7
mozzarella,6
fantastic,7
highly,6
recommend,9
type,6
excellent,8
honey,7
dinner,7
amazing,17
spot,6
las,10
wine,24
perfect,9
appetizers,10
ricotta,6
sauce,10
food,35
bread,11
didn,8
pizza,43
meal,12
square,8
delicious,13
oil,7
special,6
quality,7
looking,6
waiter,6
cheese,24
dine,6
little,9
service,17
bite,6
wonderful,7
perfectly,11
enoteca,6
loved,8
dishes,8
mario,14
definitely,11
atmosphere,6
menu,9
outside,8
black,7
pretty,6
batali,15
bar,11
cauliflower,6
dente,7
restaurant,13
eggplant,8
caprese,6
pesto,7
otto,25
incredible,6
meat,6
server,7
night,9
awesome,8
italian,16
people,8
truffle,7
eating,6
nmy,6
pasta,30
eat,8
inside,10
venetian,12
fried,8
tasty,6
cooked,7
time,18
fresh,9
