words,count
nwe,10
worth,6
nthe,20
told,8
times,6
amazing,7
oysters,14
bread,14
meat,10
potatoes,13
little,11
wasn,13
service,46
spinach,7
legs,8
seated,6
don,24
enjoyed,6
bar,12
dipping,6
bad,14
steak,38
claws,18
mushroom,6
butter,13
night,11
people,12
bisque,15
corn,9
dinner,21
medium,12
portions,8
seafood,23
tip,7
time,27
vegas,22
pork,7
eating,8
water,6
wait,10
creamy,7
mac,9
birthday,8
maybe,16
basket,7
cold,7
hot,10
main,6
half,7
didn,26
tried,8
waiter,11
cheese,13
mignon,10
size,6
tasted,12
dining,7
price,11
average,6
prime,6
review,7
lemon,6
ribeye,8
flavor,10
world,6
server,12
served,14
nice,19
seating,7
lobster,16
nmy,6
stone,71
meal,18
stars,10
taste,7
tasty,9
cream,6
dish,11
scallops,10
experience,9
eye,9
share,7
salty,13
okay,6
sauce,18
food,50
delicious,11
bass,6
king,9
caesar,7
fine,6
pretty,21
famous,6
sea,9
probably,6
restaurant,25
cakes,6
sweet,15
else,8
prices,7
look,6
bill,6
rib,11
bit,15
mashed,8
filet,19
definitely,13
mustard,7
reservation,10
cooked,8
fresh,6
dessert,12
try,17
joes,6
lime,13
crab,99
salad,20
shrimp,10
instead,8
appetizer,7
day,9
special,10
waitress,9
lot,10
atmosphere,6
crabs,33
joe,33
key,11
table,13
decent,9
drink,6
liked,6
onion,7
rare,6
eat,7
cake,7
minutes,7
pie,21
star,9
