words,count
dish,7
brunch,6
paris,6
vegas,17
hexx,13
bacon,11
burger,7
nthe,7
drinks,7
told,7
wait,6
awesome,6
sandwich,7
water,6
patio,10
sauce,7
food,22
lunch,11
half,6
day,10
didn,10
factory,11
little,7
waiter,7
cheese,9
wasn,7
service,16
tasted,9
breakfast,8
sat,6
chicken,16
menu,14
outside,9
sugar,10
pretty,6
bar,8
view,9
decided,6
restaurant,11
sweet,6
groupon,13
table,11
mary,7
drink,8
dining,6
location,7
bloody,7
candy,6
served,9
people,8
bellagio,9
pasta,6
shrimp,6
dinner,10
strip,8
fountains,8
eat,6
fries,6
tasty,6
check,6
nice,14
chocolate,7
time,10
