words,count
nwe,8
worth,9
japanese,16
nthe,35
weren,6
told,13
wagyu,50
dry,10
brought,14
glass,6
warm,9
excellent,11
hot,9
wrong,11
las,8
wine,23
expectations,6
bread,23
meat,35
potatoes,7
meal,32
bone,31
little,15
puck,8
delicious,14
wasn,14
service,62
spinach,10
top,20
butter,8
serve,6
seated,10
mouth,10
don,30
spend,6
menu,26
rich,8
plate,11
appetizer,10
waygu,13
bar,6
pretzel,6
bad,14
steak,132
decided,7
beef,34
expected,12
nif,6
left,7
hills,8
palazzo,8
night,12
people,13
months,6
dinner,19
medium,22
true,8
potato,7
time,23
vegas,37
cook,6
cool,8
pork,11
steaks,49
drinks,9
creamed,6
water,7
wait,7
love,7
visit,6
mac,15
birthday,6
maybe,13
cuts,13
cold,8
appetizers,12
amazing,14
main,8
didn,38
looking,7
cut,76
waiter,20
waited,8
cheese,28
mastro,9
mignon,7
bite,7
friend,9
tasted,9
dining,15
price,13
average,7
salt,11
steakhouses,13
attentive,8
paying,10
ribeye,27
pay,9
check,7
bottle,6
flavor,15
world,7
disappointed,8
server,20
beverly,8
served,10
favorite,7
start,8
stars,22
spicy,6
trying,6
money,17
taste,21
tasty,10
wife,10
dish,11
sashimi,6
presentation,7
list,7
steakhouse,31
experience,21
eye,15
flan,9
nebraska,7
okay,7
egg,8
actually,10
sauce,9
wouldn,6
return,6
food,46
found,6
house,10
expect,10
reason,9
american,15
expecting,7
feel,12
bland,6
kobe,13
juicy,7
aged,6
notch,8
fine,7
pretty,14
rest,7
hype,6
restaurants,10
tender,7
restaurant,32
sweet,7
expensive,16
flavorful,6
prices,7
bill,9
rib,16
fatty,8
person,6
tables,6
lacking,7
bit,16
servers,6
filet,23
line,7
doesn,6
definitely,14
nice,20
prepared,6
reservation,16
cooked,11
dessert,14
try,13
nservice,6
rare,18
salad,13
marrow,23
perfect,6
wolfgang,13
ambiance,6
special,16
red,8
quality,11
lot,11
loved,7
dishes,8
mustards,6
atmosphere,7
selection,6
overall,7
probably,8
table,25
party,6
mushrooms,12
eat,20
wish,6
piece,8
minutes,9
else,6
