words,count
cobia,8
nwe,35
worth,18
nfor,9
enjoy,7
bacon,16
chef,30
nthe,40
met,7
dry,7
items,6
highly,8
brought,7
recommend,11
tell,12
excellent,20
hot,9
las,7
oysters,27
wine,21
bread,18
meat,7
potatoes,14
meal,36
little,27
free,10
fixe,10
ate,14
wasn,16
service,38
top,33
seated,14
flavorful,10
raw,7
casual,9
recommended,7
mashed,6
mouth,6
don,17
dog,8
definitely,43
prix,11
enjoyed,10
menu,53
rick,31
plate,8
stop,7
appetizer,7
bar,18
bay,19
bad,8
grilled,9
steak,11
decided,18
kitchen,6
else,8
uni,9
groupon,8
lovely,7
broth,6
sushi,41
upscale,6
belly,14
garlic,9
tuna,12
nit,6
butter,6
left,6
fantastic,11
terrific,6
night,28
people,13
ice,30
corn,9
super,9
dinner,43
octopus,13
happy,13
inside,8
trip,8
floor,8
test,7
roll,35
potato,7
time,40
vegas,32
guy,6
pork,22
cost,6
drinks,6
shared,7
mussels,13
water,16
wait,8
usually,12
entrees,12
love,18
flavors,30
visit,12
chocolate,9
soup,12
bites,7
awesome,10
cocktail,6
spot,6
mac,10
date,6
remember,13
nour,6
course,34
appetizers,10
amazing,15
main,6
lunch,24
half,6
didn,30
looking,6
correct,8
california,7
care,6
waiter,20
yum,8
cheese,13
size,6
bite,10
white,16
friend,13
season,6
tasted,13
tastes,6
sat,7
diver,7
note,6
dining,26
surf,11
price,11
seafood,79
texture,8
black,6
seared,9
husband,12
review,10
offered,6
attentive,7
check,10
week,12
oil,6
arctic,8
steamed,9
rest,6
flavor,35
cilantro,9
hint,6
sampler,13
clam,25
server,22
served,9
nmy,9
prepared,7
favorite,8
mixed,6
clams,21
strip,7
upstairs,26
mandalay,20
lot,9
spicy,14
trying,7
downstairs,18
taste,25
tasty,24
cream,37
pear,6
wife,12
cioppino,17
dish,43
sashimi,7
fat,7
syrup,6
scallops,35
hours,6
experience,28
amount,9
chunks,7
hour,9
salty,6
huge,8
sandwich,6
tried,13
halibut,6
actually,12
sauce,29
evening,12
food,52
biscuits,7
delicious,41
fish,54
feel,8
guess,11
wonderful,8
believe,6
king,10
cornbread,9
added,12
salmon,11
eaten,6
clean,7
chowder,24
noverall,7
fine,8
pretty,18
tender,11
won,9
probably,18
restaurant,69
sweet,9
scallop,8
crispy,13
expensive,7
mind,6
prices,7
hostess,6
bill,7
fun,13
cucumber,7
tables,8
disappointed,7
surprised,6
couple,8
game,10
bit,26
moonen,26
absolutely,6
sorbet,10
eating,10
rolls,6
tasting,28
oyster,10
lobster,23
fried,9
char,8
lemon,12
nice,55
reservation,12
cooked,14
fresh,45
friendly,20
dessert,25
try,45
nservice,8
casino,6
lime,7
crab,37
started,13
salad,14
challenge,7
pieces,10
shrimp,15
entree,10
tomato,6
light,15
perfect,17
citrus,6
masters,8
risotto,6
accompanied,7
ambiance,6
red,8
times,9
restaurants,9
perfectly,20
stars,17
loved,9
maybe,8
dishes,15
staff,15
overall,10
ones,8
chips,15
gras,13
key,7
taking,6
table,17
bbq,7
slightly,9
drink,9
liked,8
generous,6
day,8
home,9
pasta,17
getting,6
own,7
eat,14
wish,6
cake,13
reservations,10
star,17
foie,13
friends,13
portion,7
