words,count
nwe,6
worth,7
told,14
piercing,49
explained,8
recommend,15
pierced,30
piercer,10
amazing,21
little,8
days,7
service,6
hollywood,6
don,7
decided,10
cartilage,6
piercings,29
greeted,7
kid,7
ease,6
people,9
super,11
hurt,9
time,30
vegas,23
cool,12
quick,8
guy,6
love,7
club,30
reviews,8
septum,7
awesome,16
guys,9
thank,6
times,8
didn,14
looking,14
care,9
ring,8
friend,20
pain,9
price,8
especially,6
professional,8
shop,31
artist,15
shops,6
pay,15
check,9
totally,8
touch,6
jarred,9
nice,22
lol,6
design,9
tattoos,13
experience,26
pick,8
helped,12
coming,7
help,10
actually,6
feel,10
gotten,6
store,6
extremely,8
clean,14
expensive,6
prices,6
questions,10
location,7
jewelry,32
patient,10
planet,7
definitely,17
walked,6
nose,12
friendly,15
michael,16
customer,8
process,6
doing,8
strip,7
stud,6
lot,9
ben,6
comfortable,6
staff,16
job,8
tattoo,91
helpful,14
getting,21
chris,11
artists,8
ear,7
minutes,9
ink,9
yelp,7
